0 825000 xx^xx-sil+s=U/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_8/K:5+10-53
825000 1925000 xx^sil-s+U=t/A:-4+1+8/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
1925000 2225000 sil^s-U+t=o/A:-4+1+8/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
2225000 3125000 s^U-t+o=r/A:-3+2+7/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
3125000 3825000 U^t-o+r=a/A:-3+2+7/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
3825000 4325000 t^o-r+a=cl/A:-2+3+6/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
4325000 5024999 o^r-a+cl=t/A:-2+3+6/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
5024999 5725000 r^a-cl+t=o/A:-1+4+5/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
5725000 6324999 a^cl-t+o=f/A:0+5+4/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
6324999 7225000 cl^t-o+f=o/A:0+5+4/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
7225000 7725000 t^o-f+o=o/A:1+6+3/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
7725000 9625000 o^f-o+o=d/A:1+6+3/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
9625000 10125000 f^o-o+d=o/A:2+7+2/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
10125000 11325000 o^o-d+o=pau/A:3+8+1/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
11325000 13125000 o^d-o+pau=o/A:3+8+1/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_5#0_xx@1_1|1_8/G:2_1%0_xx_0/H:xx_xx/I:1-8@1+5&1-10|1+53/J:1_2/K:5+10-53
13125000 13525000 d^o-pau+o=N/A:xx+xx+xx/B:18-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:8_5!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_1%0_xx_xx/H:1_8/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:5+10-53
13525000 14424999 o^pau-o+N=pau/A:0+1+2/B:18-xx_xx/C:18_xx+xx/D:18+xx_xx/E:8_5!0_xx-0/F:2_1#0_xx@1_1|1_2/G:5_1%0_xx_0/H:1_8/I:1-2@2+4&2-9|9+45/J:1_5/K:5+10-53
14424999 17125000 pau^o-N+pau=e/A:1+2+1/B:18-xx_xx/C:18_xx+xx/D:18+xx_xx/E:8_5!0_xx-0/F:2_1#0_xx@1_1|1_2/G:5_1%0_xx_0/H:1_8/I:1-2@2+4&2-9|9+45/J:1_5/K:5+10-53
17125000 17725000 o^N-pau+e=i/A:xx+xx+xx/B:18-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:5+10-53
17725000 19125000 N^pau-e+i=b/A:0+1+5/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:2_1!0_xx-0/F:5_1#0_xx@1_1|1_5/G:7_4%0_xx_0/H:1_2/I:1-5@3+3&3-8|11+43/J:3_17/K:5+10-53
