0 4125000 xx^xx-sil+d=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_12/K:2+7-31
4125000 5425000 xx^sil-d+a=N/A:-3+1+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
5425000 6625000 sil^d-a+N=sh/A:-3+1+7/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
6625000 7125000 d^a-N+sh=I/A:-2+2+6/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
7125000 7925000 a^N-sh+I=s/A:-1+3+5/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
7925000 8625000 N^sh-I+s=e/A:-1+3+5/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
8625000 9625000 sh^I-s+e=e/A:0+4+4/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
9625000 11325000 I^s-e+e=t/A:0+4+4/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
11325000 12225000 s^e-e+t=o/A:1+5+3/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
12225000 12825000 e^e-t+o=n/A:2+6+2/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
12825000 13225000 e^t-o+n=o/A:2+6+2/B:02-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:7_4#0_xx@1_2|1_12/G:5_3%0_xx_1/H:xx_xx/I:2-12@1+2&1-7|1+31/J:5_19/K:2+7-31
