0 3225000 xx^xx-sil+a=n/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:2+8-33
3225000 3725000 xx^sil-a+n=a/A:-1+1+4/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
3725000 4325000 sil^a-n+a=t/A:0+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
4325000 5325000 a^n-a+t=a/A:0+2+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
5325000 6025000 n^a-t+a=w/A:1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
6025000 6525000 a^t-a+w=a/A:1+3+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
6525000 6925000 t^a-w+a=ry/A:2+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
6925000 7825000 a^w-a+ry=u/A:2+4+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_17/G:5_5%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
7825000 9525000 w^a-ry+u=u/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
9525000 10025000 a^ry-u+u=k/A:-4+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
10025000 10325000 ry^u-u+k=a/A:-3+2+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
10325000 11125000 u^u-k+a=N/A:-2+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
11125000 11825000 u^k-a+N=n/A:-2+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
11825000 12325000 k^a-N+n=i/A:-1+4+2/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
12325000 12925000 a^N-n+i=n/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
12925000 13625000 N^n-i+n=a/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:4_2!0_xx-1/F:5_5#0_xx@2_3|5_13/G:5_4%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
13625000 14125000 n^i-n+a=r/A:-3+1+5/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
14125000 14625000 i^n-a+r=i/A:-3+1+5/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
14625000 15125000 n^a-r+i=k/A:-2+2+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
15125000 15825000 a^r-i+k=a/A:-2+2+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
15825000 16525000 r^i-k+a=k/A:-1+3+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:5_5!0_xx-1/F:5_4#0_xx@3_2|10_8/G:3_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-8|1+33/J:4_16/K:2+8-33
