0 1525000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:2+6-25
1525000 2525000 xx^sil-k+a=r/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
2525000 3025000 sil^k-a+r=e/A:0+1+3/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
3025000 3425000 k^a-r+e=w/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
3425000 3925000 a^r-e+w=a/A:1+2+2/B:xx-xx_xx/C:04_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
3925000 5024999 r^e-w+a=r/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
5024999 5425000 e^w-a+r=a/A:2+3+1/B:04-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
5425000 6025000 w^a-r+a=i/A:0+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@2_2|4_10/G:5_5%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
6025000 6825000 a^r-a+i=f/A:0+1+5/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@2_2|4_10/G:5_5%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
6825000 7325000 r^a-i+f=u/A:1+2+4/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@2_2|4_10/G:5_5%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
7325000 8325000 a^i-f+u=r/A:2+3+3/B:24-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:5_1#0_xx@2_2|4_10/G:5_5%0_xx_1/H:xx_xx/I:3-13@1+2&1-6|1+25/J:3_12/K:2+6-25
