0 525000 xx^xx-sil+k=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_15/K:2+8-33
525000 1325000 xx^sil-k+i=b/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
1325000 2025000 sil^k-i+b=u/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
2025000 2325000 k^i-b+u=N/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
2325000 2725000 i^b-u+N=g/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
2725000 4125000 b^u-N+g=a/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
4125000 4625000 u^N-g+a=w/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
4625000 5425000 N^g-a+w=a/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:01+7_1/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_15/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
5425000 6225000 g^a-w+a=r/A:-1+1+4/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
6225000 6725000 a^w-a+r=u/A:-1+1+4/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
6725000 7125000 w^a-r+u=k/A:0+2+3/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
7125000 7825000 a^r-u+k=U/A:0+2+3/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
7825000 8125000 r^u-k+U=t/A:1+3+2/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
8125000 8425000 u^k-U+t=e/A:1+3+2/B:13-xx_xx/C:01_7+1/D:12+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
8425000 8925000 k^U-t+e=ny/A:2+4+1/B:01-7_1/C:12_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
8925000 9425000 U^t-e+ny=u/A:2+4+1/B:01-7_1/C:12_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:4_2#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
9425000 11025000 t^e-ny+u=u/A:-3+1+4/B:12-xx_xx/C:03_xx+xx/D:20+4_1/E:4_2!0_xx-1/F:4_4#0_xx@3_2|9_7/G:3_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
11025000 11325000 e^ny-u+u=i/A:-3+1+4/B:12-xx_xx/C:03_xx+xx/D:20+4_1/E:4_2!0_xx-1/F:4_4#0_xx@3_2|9_7/G:3_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
11325000 12125000 ny^u-u+i=N/A:-2+2+3/B:12-xx_xx/C:03_xx+xx/D:20+4_1/E:4_2!0_xx-1/F:4_4#0_xx@3_2|9_7/G:3_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
12125000 13325000 u^u-i+N=sh/A:-1+3+2/B:12-xx_xx/C:03_xx+xx/D:20+4_1/E:4_2!0_xx-1/F:4_4#0_xx@3_2|9_7/G:3_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
13325000 13625000 u^i-N+sh=I/A:0+4+1/B:12-xx_xx/C:03_xx+xx/D:20+4_1/E:4_2!0_xx-1/F:4_4#0_xx@3_2|9_7/G:3_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
13625000 14424999 i^N-sh+I=t/A:-1+1+3/B:03-xx_xx/C:20_4+1/D:10+7_2/E:4_4!0_xx-1/F:3_2#0_xx@4_1|13_3/G:7_3%0_xx_0/H:xx_xx/I:4-15@1+2&1-8|1+33/J:4_18/K:2+8-33
