0 1024999 xx^xx-sil+a=f/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:2+8-40
1024999 1925000 xx^sil-a+f=i/A:-2+1+6/B:xx-xx_xx/C:09_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
1925000 2725000 sil^a-f+i=n/A:-1+2+5/B:xx-xx_xx/C:09_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
2725000 3425000 a^f-i+n=e/A:-1+2+5/B:xx-xx_xx/C:09_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
3425000 4125000 f^i-n+e=r/A:0+3+4/B:09-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
4125000 5024999 i^n-e+r=a/A:0+3+4/B:09-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
5024999 5525000 n^e-r+a=i/A:1+4+3/B:09-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
5525000 6225000 e^r-a+i=n/A:1+4+3/B:09-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
6225000 6525000 r^a-i+n=o/A:2+5+2/B:09-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
6525000 7425000 a^i-n+o=ts/A:3+6+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
7425000 7825000 i^n-o+ts=u/A:3+6+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_2%0_xx_1/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
7825000 9125000 n^o-ts+u=r/A:-1+1+7/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
9125000 9425000 o^ts-u+r=i/A:-1+1+7/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
9425000 9825000 ts^u-r+i=k/A:0+2+6/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
9825000 10625000 u^r-i+k=i/A:0+2+6/B:23-xx_xx/C:02_xx+xx/D:02+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
10625000 11425000 r^i-k+i=j/A:1+3+5/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
11425000 11825000 i^k-i+j=i/A:1+3+5/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
11825000 12625000 k^i-j+i=d/A:2+4+4/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
12625000 13125000 i^j-i+d=e/A:2+4+4/B:02-xx_xx/C:02_xx+xx/D:10+7_2/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
13125000 13425000 j^i-d+e=s/A:3+5+3/B:02-xx_xx/C:10_7+2/D:14+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
13425000 14125000 i^d-e+s=U/A:3+5+3/B:02-xx_xx/C:10_7+2/D:14+xx_xx/E:6_3!0_xx-1/F:7_2#0_xx@2_1|7_7/G:8_4%0_xx_0/H:xx_xx/I:2-13@1+2&1-8|1+40/J:6_27/K:2+8-40
