0 1125000 xx^xx-sil+h=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_9/K:4+5-26
1125000 1724999 xx^sil-h+o=N/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
1724999 2125000 sil^h-o+N=j/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
2125000 3525000 h^o-N+j=i/A:1+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
3525000 4225000 o^N-j+i=ts/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
4225000 4825000 N^j-i+ts=u/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
4825000 5725000 j^i-ts+u=n/A:3+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
5725000 6025000 i^ts-u+n=o/A:3+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
6025000 6425000 ts^u-n+o=e/A:4+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
6425000 7125000 u^n-o+e=e/A:4+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_2|1_9/G:4_4%0_xx_1/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
7125000 9025000 n^o-e+e=g/A:-3+1+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
9025000 9725000 o^e-e+g=a/A:-2+2+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
9725000 10425000 e^e-g+a=w/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
10425000 11225000 e^g-a+w=a/A:-1+3+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
11225000 12625000 g^a-w+a=pau/A:0+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
12625000 13825000 a^w-a+pau=s/A:0+4+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:5_1!0_xx-1/F:4_4#0_xx@2_1|6_4/G:4_4%0_xx_0/H:xx_xx/I:2-9@1+4&1-5|1+26/J:1_4/K:4+5-26
13825000 14925000 w^a-pau+s=a/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:4_4!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:2_9/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_4/K:4+5-26
14925000 16325000 a^pau-s+a=u/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
16325000 16625000 pau^s-a+u=N/A:-3+1+4/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
16625000 17925000 s^a-u+N=d/A:-2+2+3/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
17925000 18225000 a^u-N+d=o/A:-1+3+2/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
18225000 18625000 u^N-d+o=pau/A:0+4+1/B:24-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_4!0_xx-0/F:4_4#0_xx@1_1|1_4/G:2_2%0_xx_0/H:2_9/I:1-4@2+3&3-3|10+17/J:1_2/K:4+5-26
