0 825000 xx^xx-sil+m=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_20/K:2+15-48
825000 1325000 xx^sil-m+i=s/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
1325000 1925000 sil^m-i+s=e/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
1925000 2625000 m^i-s+e=n/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
2625000 3325000 i^s-e+n=o/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
3325000 3625000 s^e-n+o=h/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
3625000 4625000 e^n-o+h=I/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_7|1_20/G:3_3%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
4625000 5125000 n^o-h+I=t/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
5125000 5425000 o^h-I+t=o/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
5425000 6125000 h^I-t+o=w/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
6125000 6425000 I^t-o+w=a/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
6425000 6725000 t^o-w+a=w/A:0+3+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
6725000 8025000 o^w-a+w=a/A:0+3+1/B:02-xx_xx/C:24_xx+xx/D:04+xx_xx/E:3_2!0_xx-1/F:3_3#0_xx@2_6|4_17/G:4_4%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
8025000 8525000 w^a-w+a=t/A:-3+1+4/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
8525000 9125000 a^w-a+t=a/A:-3+1+4/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
9125000 9725000 w^a-t+a=sh/A:-2+2+3/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
9725000 10025000 a^t-a+sh=i/A:-2+2+3/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
10025000 11025000 t^a-sh+i=n/A:-1+3+2/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
11025000 11325000 a^sh-i+n=o/A:-1+3+2/B:24-xx_xx/C:04_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
11325000 11825000 sh^i-n+o=k/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
11825000 12525000 i^n-o+k=o/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@3_5|7_14/G:3_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
12525000 13125000 n^o-k+o=t/A:-1+1+3/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|11_10/G:2_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
13125000 13625000 o^k-o+t=o/A:-1+1+3/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|11_10/G:2_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
13625000 14125000 k^o-t+o=o/A:0+2+2/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|11_10/G:2_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
14125000 14625000 o^t-o+o=sh/A:0+2+2/B:23-xx_xx/C:22_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@4_4|11_10/G:2_2%0_xx_1/H:xx_xx/I:7-20@1+2&1-15|1+48/J:8_28/K:2+15-48
