0 1024999 xx^xx-sil+k=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_22/K:1+6-22
1024999 1825000 xx^sil-k+o=n/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_22/G:5_5%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
1825000 2325000 sil^k-o+n=o/A:-1+1+2/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_22/G:5_5%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
2325000 2925000 k^o-n+o=o/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_22/G:5_5%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
2925000 3825000 o^n-o+o=k/A:0+2+1/B:xx-xx_xx/C:07_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_6|1_22/G:5_5%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
3825000 4525000 n^o-o+k=a/A:-4+1+5/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
4525000 5325000 o^o-k+a=k/A:-3+2+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
5325000 6025000 o^k-a+k=a/A:-3+2+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
6025000 6725000 k^a-k+a=r/A:-2+3+3/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
6725000 7325000 a^k-a+r=a/A:-2+3+3/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7325000 7725000 k^a-r+a=w/A:-1+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
7725000 8525000 a^r-a+w=a/A:-1+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
8525000 9525000 r^a-w+a=n/A:0+5+1/B:13-xx_xx/C:24_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
9525000 11025000 a^w-a+n=a/A:0+5+1/B:13-xx_xx/C:24_xx+xx/D:05+xx_xx/E:2_2!0_xx-1/F:5_5#0_xx@2_5|3_20/G:7_4%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
11025000 13325000 w^a-n+a=N/A:-3+1+7/B:24-xx_xx/C:05_xx+xx/D:05+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@3_4|8_15/G:2_2%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
13325000 13825000 a^n-a+N=by/A:-3+1+7/B:24-xx_xx/C:05_xx+xx/D:05+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@3_4|8_15/G:2_2%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
13825000 14725000 n^a-N+by=a/A:-2+2+6/B:24-xx_xx/C:05_xx+xx/D:05+xx_xx/E:5_5!0_xx-1/F:7_4#0_xx@3_4|8_15/G:2_2%0_xx_1/H:xx_xx/I:6-22@1+1&1-6|1+22/J:xx_xx/K:1+6-22
