0 2725000 xx^xx-sil+s=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:2+6-29
2725000 4125000 xx^sil-s+a=b/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
4125000 4725000 sil^s-a+b=u/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
4725000 5225000 s^a-b+u=m/A:-1+2+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
5225000 5525000 a^b-u+m=a/A:-1+2+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
5525000 6625000 b^u-m+a=r/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
6625000 7425000 u^m-a+r=i/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
7425000 7825000 m^a-r+i=N/A:1+4+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
7825000 8425000 a^r-i+N=n/A:1+4+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
8425000 9225000 r^i-N+n=o/A:2+5+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
9225000 9625000 i^N-n+o=p/A:3+6+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_2|1_13/G:7_4%0_xx_1/H:xx_xx/I:2-13@1+2&1-6|1+29/J:4_16/K:2+6-29
