0 4625000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_19/K:2+10-41
4625000 5024999 xx^sil-w+a=t/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
5024999 5525000 sil^w-a+t=a/A:-3+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
5525000 6225000 w^a-t+a=sh/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
6225000 6725000 a^t-a+sh=i/A:-2+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
6725000 7725000 t^a-sh+i=n/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
7725000 8025000 a^sh-i+n=o/A:-1+3+2/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
8025000 8625000 sh^i-n+o=ts/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
8625000 9425000 i^n-o+ts=u/A:0+4+1/B:04-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_19/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
9425000 10725000 n^o-ts+u=m/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
10725000 11025000 o^ts-u+m=a/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
11025000 11625000 ts^u-m+a=g/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
11625000 12325000 u^m-a+g=a/A:1+2+2/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
12325000 12925000 m^a-g+a=b/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
12925000 13225000 a^g-a+b=i/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_15/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
13225000 14625000 g^a-b+i=N/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|8_12/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
14625000 15525000 a^b-i+N=o/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|8_12/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
15525000 16325000 b^i-N+o=w/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@3_3|8_12/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
16325000 17625000 i^N-o+w=a/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:3_1#0_xx@3_3|8_12/G:3_1%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
17625000 18325000 N^o-w+a=cl/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@4_2|11_9/G:6_2%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
18325000 18825000 o^w-a+cl=t/A:0+1+3/B:13-xx_xx/C:20_1+1/D:12+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@4_2|11_9/G:6_2%0_xx_1/H:xx_xx/I:5-19@1+2&1-10|1+41/J:5_22/K:2+10-41
