0 5825000 xx^xx-sil+k=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_16/K:2+10-36
5825000 6525000 xx^sil-k+e=N/A:-3+1+4/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
6525000 7425000 sil^k-e+N=k/A:-3+1+4/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
7425000 8125000 k^e-N+k=a/A:-2+2+3/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
8125000 9025000 e^N-k+a=o/A:-1+3+2/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
9025000 9325000 N^k-a+o=sh/A:-1+3+2/B:xx-xx_xx/C:03_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
9325000 10525000 k^a-o+sh=I/A:0+4+1/B:03-xx_xx/C:13_xx+xx/D:20+4_1/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_16/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
10525000 11025000 a^o-sh+I=t/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:12+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@2_4|5_12/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
11025000 11325000 o^sh-I+t=e/A:-1+1+2/B:13-xx_xx/C:20_4+1/D:12+xx_xx/E:4_4!0_xx-1/F:2_2#0_xx@2_4|5_12/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
11325000 12024999 sh^I-t+e=i/A:0+2+1/B:20-4_1/C:12_xx+xx/D:17+3_1/E:4_4!0_xx-1/F:2_2#0_xx@2_4|5_12/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
12024999 13125000 I^t-e+i=t/A:0+2+1/B:20-4_1/C:12_xx+xx/D:17+3_1/E:4_4!0_xx-1/F:2_2#0_xx@2_4|5_12/G:2_2%0_xx_1/H:xx_xx/I:5-16@1+2&1-10|1+36/J:5_20/K:2+10-36
