0 1225000 xx^xx-sil+sh=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_10/K:3+13-54
1225000 1925000 xx^sil-sh+I=k/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
1925000 2225000 sil^sh-I+k=a/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
2225000 2625000 sh^I-k+a=sh/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
2625000 3225000 I^k-a+sh=I/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
3225000 4325000 k^a-sh+I=p/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
4325000 4925000 a^sh-I+p=e/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_2|1_10/G:7_1%0_xx_1/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
4925000 5825000 sh^I-p+e=p/A:0+1+7/B:08-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
5825000 6525000 I^p-e+p=a/A:0+1+7/B:08-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
6525000 7225000 p^e-p+a=a/A:1+2+6/B:08-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
7225000 8725000 e^p-a+a=b/A:1+2+6/B:08-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
8725000 9425000 p^a-a+b=a/A:2+3+5/B:08-xx_xx/C:18_xx+xx/D:09+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
9425000 11325000 a^a-b+a=a/A:3+4+4/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
11325000 12024999 a^b-a+a=g/A:3+4+4/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
12024999 12325000 b^a-a+g=u/A:4+5+3/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
12325000 13025000 a^a-g+u=w/A:5+6+2/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
13025000 14424999 a^g-u+w=a/A:5+6+2/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
14424999 16625000 g^u-w+a=pau/A:6+7+1/B:09-xx_xx/C:24_xx+xx/D:07+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
16625000 19125000 u^w-a+pau=s/A:6+7+1/B:09-xx_xx/C:24_xx+xx/D:07+xx_xx/E:3_2!0_xx-1/F:7_1#0_xx@2_1|4_7/G:2_2%0_xx_0/H:xx_xx/I:2-10@1+3&1-13|1+54/J:5_18/K:3+13-54
19125000 19825000 w^a-pau+s=o/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:07+xx_xx/E:7_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:2_10/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:3+13-54
19825000 20225000 a^pau-s+o=n/A:-1+1+2/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:2_2#0_xx@1_5|1_18/G:4_1%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
20225000 21625000 pau^s-o+n=o/A:-1+1+2/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:2_2#0_xx@1_5|1_18/G:4_1%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
21625000 23424999 s^o-n+o=o/A:0+2+1/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:2_2#0_xx@1_5|1_18/G:4_1%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
23424999 24125000 o^n-o+o=o/A:0+2+1/B:24-xx_xx/C:07_xx+xx/D:02+xx_xx/E:7_1!0_xx-0/F:2_2#0_xx@1_5|1_18/G:4_1%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
24125000 24425000 n^o-o+o=m/A:0+1+4/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_4|3_16/G:4_4%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
24425000 25825000 o^o-o+m=u/A:1+2+3/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_4|3_16/G:4_4%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
25825000 26625000 o^o-m+u=o/A:2+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_4|3_16/G:4_4%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
26625000 27225000 o^m-u+o=k/A:2+3+2/B:07-xx_xx/C:02_xx+xx/D:13+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_4|3_16/G:4_4%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
27225000 28325000 m^u-o+k=e/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:2_2!0_xx-1/F:4_1#0_xx@2_4|3_16/G:4_4%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
28325000 29425000 u^o-k+e=N/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@3_3|7_12/G:2_2%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
29425000 29725000 o^k-e+N=ky/A:-3+1+4/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@3_3|7_12/G:2_2%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
29725000 30025000 k^e-N+ky=u/A:-2+2+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@3_3|7_12/G:2_2%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
30025000 31125000 e^N-ky+u=u/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@3_3|7_12/G:2_2%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
31125000 31625000 N^ky-u+u=s/A:-1+3+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_1!0_xx-1/F:4_4#0_xx@3_3|7_12/G:2_2%0_xx_1/H:2_10/I:5-18@2+2&3-11|11+44/J:6_26/K:3+13-54
