0 1125000 xx^xx-sil+p=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_17/K:2+12-43
1125000 1925000 xx^sil-p+a=cl/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
1925000 2625000 sil^p-a+cl=k/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
2625000 2925000 p^a-cl+k=u/A:-1+2+5/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
2925000 3925000 a^cl-k+u=m/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
3925000 4325000 cl^k-u+m=a/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
4325000 5024999 k^u-m+a=N/A:1+4+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
5024999 5525000 u^m-a+N=g/A:1+4+3/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
5525000 6324999 m^a-N+g=a/A:2+5+2/B:02-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
6324999 7025000 a^N-g+a=a/A:3+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
7025000 7925000 N^g-a+a=r/A:3+6+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_4|1_17/G:2_1%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
7925000 9025000 g^a-a+r=u/A:0+1+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:6_3!0_xx-1/F:2_1#0_xx@2_3|7_11/G:5_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
9025000 9325000 a^a-r+u=j/A:1+2+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:6_3!0_xx-1/F:2_1#0_xx@2_3|7_11/G:5_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
9325000 9925000 a^r-u+j=o/A:1+2+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:6_3!0_xx-1/F:2_1#0_xx@2_3|7_11/G:5_3%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
9925000 10825000 r^u-j+o=o/A:-2+1+5/B:20-1_2/C:02_xx+xx/D:13+xx_xx/E:2_1!0_xx-1/F:5_3#0_xx@3_2|9_9/G:4_2%0_xx_1/H:xx_xx/I:4-17@1+2&1-12|1+43/J:8_26/K:2+12-43
