0 1424999 xx^xx-sil+t=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_27/K:3+9-41
1424999 1925000 xx^sil-t+o=cl/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
1925000 3025000 sil^t-o+cl=p/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
3025000 3725000 t^o-cl+p=u/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
3725000 4225000 o^cl-p+u=n/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
4225000 4525000 cl^p-u+n=o/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
4525000 5325000 p^u-n+o=r/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
5325000 6125000 u^n-o+r=i/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_6|1_27/G:5_1%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
6125000 6725000 n^o-r+i=i/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_5|5_23/G:3_2%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
6725000 8825000 o^r-i+i=d/A:0+1+5/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_5|5_23/G:3_2%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
8825000 9325000 r^i-i+d=a/A:1+2+4/B:23-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:5_1#0_xx@2_5|5_23/G:3_2%0_xx_1/H:xx_xx/I:6-27@1+3&1-9|1+41/J:1_5/K:3+9-41
