0 5225000 xx^xx-sil+w=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_21/K:1+4-21
5225000 6225000 xx^sil-w+i=i/A:0+1+6/B:xx-xx_xx/C:18_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
6225000 8425000 sil^w-i+i=N/A:0+1+6/B:xx-xx_xx/C:18_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
8425000 9125000 w^i-i+N=m/A:1+2+5/B:xx-xx_xx/C:18_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
9125000 9625000 i^i-N+m=a/A:2+3+4/B:xx-xx_xx/C:18_xx+xx/D:11+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
9625000 10225000 i^N-m+a=d/A:3+4+3/B:18-xx_xx/C:11_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
10225000 10825000 N^m-a+d=e/A:3+4+3/B:18-xx_xx/C:11_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
10825000 11125000 m^a-d+e=w/A:4+5+2/B:18-xx_xx/C:11_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
11125000 12725000 a^d-e+w=a/A:4+5+2/B:18-xx_xx/C:11_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
12725000 13025000 d^e-w+a=a/A:5+6+1/B:11-xx_xx/C:24_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
13025000 13825000 e^w-a+a=r/A:5+6+1/B:11-xx_xx/C:24_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:6_1#0_xx@1_4|1_21/G:4_2%0_xx_1/H:xx_xx/I:4-21@1+1&1-4|1+21/J:xx_xx/K:1+4-21
