0 2225000 xx^xx-sil+m=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:3+15-70
2225000 2625000 xx^sil-m+o=k/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
2625000 3025000 sil^m-o+k=U/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
3025000 3425000 m^o-k+U=hy/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
3425000 3725000 o^k-U+hy=o/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
3725000 5225000 k^U-hy+o=o/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
5225000 6825000 U^hy-o+o=w/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
6825000 7625000 hy^o-o+w=a/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
7625000 9225000 o^o-w+a=j/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
9225000 11725000 o^w-a+j=u/A:0+5+1/B:02-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:8_4%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
11725000 12024999 w^a-j+u=gy/A:-3+1+8/B:24-xx_xx/C:03_xx+xx/D:03+xx_xx/E:5_5!0_xx-1/F:8_4#0_xx@2_3|6_13/G:2_2%0_xx_1/H:xx_xx/I:4-18@1+3&1-15|1+70/J:6_30/K:3+15-70
