0 1625000 xx^xx-sil+d=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:4+10-50
1625000 1925000 xx^sil-d+e=z/A:-1+1+5/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
1925000 2925000 sil^d-e+z=a/A:-1+1+5/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
2925000 3525000 d^e-z+a=i/A:0+2+4/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
3525000 4425000 e^z-a+i=N/A:0+2+4/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
4425000 5024999 z^a-i+N=m/A:1+3+3/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
5024999 5625000 a^i-N+m=o/A:2+4+2/B:xx-xx_xx/C:03_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
5625000 6625000 i^N-m+o=pau/A:3+5+1/B:03-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
6625000 8025000 N^m-o+pau=a/A:3+5+1/B:03-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:6_6%0_xx_0/H:xx_xx/I:1-5@1+4&1-10|1+50/J:3_15/K:4+10-50
8025000 10825000 m^o-pau+a=a/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:5_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_15/K:4+10-50
10825000 11924999 o^pau-a+a=ch/A:-5+1+6/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:6_6#0_xx@1_3|1_15/G:7_4%0_xx_1/H:1_5/I:3-15@2+3&2-9|6+45/J:2_13/K:4+10-50
11924999 13425000 pau^a-a+ch=i/A:-4+2+5/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:6_6#0_xx@1_3|1_15/G:7_4%0_xx_1/H:1_5/I:3-15@2+3&2-9|6+45/J:2_13/K:4+10-50
13425000 13825000 a^a-ch+i=g/A:-3+3+4/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:6_6#0_xx@1_3|1_15/G:7_4%0_xx_1/H:1_5/I:3-15@2+3&2-9|6+45/J:2_13/K:4+10-50
