0 6625000 xx^xx-sil+j=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_10/K:2+7-23
6625000 7125000 xx^sil-j+i=k/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
7125000 8025000 sil^j-i+k=a/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
8025000 8625000 j^i-k+a=N/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
8625000 9225000 i^k-a+N=w/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
9225000 10125000 k^a-N+w=a/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
10125000 10825000 a^N-w+a=a/A:0+4+1/B:02-xx_xx/C:24_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
10825000 11525000 N^w-a+a=r/A:0+4+1/B:02-xx_xx/C:24_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_10/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
11525000 12425000 w^a-a+r=u/A:0+1+2/B:24-xx_xx/C:20_1+2/D:22+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@2_2|5_6/G:4_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
12425000 13125000 a^a-r+u=N/A:1+2+1/B:24-xx_xx/C:20_1+2/D:22+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@2_2|5_6/G:4_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
13125000 13625000 a^r-u+N=d/A:1+2+1/B:24-xx_xx/C:20_1+2/D:22+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@2_2|5_6/G:4_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-7|1+23/J:4_13/K:2+7-23
