0 3925000 xx^xx-sil+d=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_13/K:3+14-62
3925000 4325000 xx^sil-d+i=s/A:-3+1+6/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
4325000 5325000 sil^d-i+s=U/A:-3+1+6/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
5325000 6425000 d^i-s+U=p/A:-2+2+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
6425000 6725000 i^s-U+p=u/A:-2+2+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
6725000 7225000 s^U-p+u=r/A:-1+3+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
7225000 7524999 U^p-u+r=e/A:-1+3+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
7524999 8025000 p^u-r+e=i/A:0+4+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
8025000 8525000 u^r-e+i=w/A:0+4+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
8525000 9025000 r^e-i+w=a/A:1+5+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
9025000 9425000 e^i-w+a=m/A:2+6+1/B:02-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
9425000 9925000 i^w-a+m=o/A:2+6+1/B:02-xx_xx/C:24_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_3|1_13/G:5_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
9925000 11025000 w^a-m+o=n/A:0+1+5/B:24-xx_xx/C:03_xx+xx/D:11+xx_xx/E:6_4!0_xx-1/F:5_1#0_xx@2_2|7_7/G:2_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
11025000 11525000 a^m-o+n=i/A:0+1+5/B:24-xx_xx/C:03_xx+xx/D:11+xx_xx/E:6_4!0_xx-1/F:5_1#0_xx@2_2|7_7/G:2_1%0_xx_1/H:xx_xx/I:3-13@1+3&1-14|1+62/J:5_23/K:3+14-62
