0 3425000 xx^xx-sil+g=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_16/K:3+14-65
3425000 3725000 xx^sil-g+i=r/A:0+1+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
3725000 4525000 sil^g-i+r=i/A:0+1+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
4525000 4925000 g^i-r+i=sh/A:1+2+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
4925000 5625000 i^r-i+sh=a/A:1+2+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
5625000 6525000 r^i-sh+a=n/A:2+3+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
6525000 6925000 i^sh-a+n=o/A:2+3+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
6925000 7625000 sh^a-n+o=f/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
7625000 8025000 a^n-o+f=u/A:3+4+1/B:18-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_16/G:7_4%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
8025000 9325000 n^o-f+u=cl/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
9325000 9625000 o^f-u+cl=t/A:-3+1+7/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
9625000 10325000 f^u-cl+t=o/A:-2+2+6/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
10325000 11025000 u^cl-t+o=b/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
11025000 11325000 cl^t-o+b=o/A:-1+3+5/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
11325000 12225000 t^o-b+o=o/A:0+4+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
12225000 13025000 o^b-o+o=r/A:0+4+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
13025000 13825000 b^o-o+r=u/A:1+5+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
13825000 14225000 o^o-r+u=n/A:2+6+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
14225000 14925000 o^r-u+n=o/A:2+6+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
14925000 15325000 r^u-n+o=sh/A:3+7+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
15325000 16725000 u^n-o+sh=i/A:3+7+1/B:02-xx_xx/C:23_xx+xx/D:03+xx_xx/E:4_1!0_xx-1/F:7_4#0_xx@2_2|5_12/G:5_5%0_xx_1/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
16725000 17125000 n^o-sh+i=a/A:-4+1+5/B:23-xx_xx/C:03_xx+xx/D:13+xx_xx/E:7_4!0_xx-1/F:5_5#0_xx@3_1|12_5/G:5_3%0_xx_0/H:xx_xx/I:3-16@1+3&1-14|1+65/J:3_13/K:3+14-65
