0 1925000 xx^xx-sil+e=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:5+18-90
1925000 3525000 xx^sil-e+e=sh/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
3525000 4725000 sil^e-e+sh=a/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
4725000 5525000 e^e-sh+a=n/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
5525000 6125000 e^sh-a+n=o/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
6125000 6525000 sh^a-n+o=sh/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
6525000 8225000 a^n-o+sh=i/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_1%0_xx_1/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
8225000 8925000 n^o-sh+i=N/A:0+1+9/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
8925000 10025000 o^sh-i+N=d/A:0+1+9/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
10025000 10325000 sh^i-N+d=i/A:1+2+8/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
10325000 11525000 i^N-d+i=i/A:2+3+7/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
11525000 12425000 N^d-i+i=n/A:2+3+7/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
12425000 13025000 d^i-i+n=i/A:3+4+6/B:23-xx_xx/C:18_xx+xx/D:09+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
13025000 13625000 i^i-n+i=k/A:4+5+5/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
13625000 14125000 i^n-i+k=o/A:4+5+5/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
14125000 14725000 n^i-k+o=r/A:5+6+4/B:18-xx_xx/C:09_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_1#0_xx@2_1|5_9/G:5_5%0_xx_0/H:xx_xx/I:2-13@1+5&1-18|1+90/J:4_16/K:5+18-90
