0 8125000 xx^xx-sil+w=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_34/K:2+11-47
8125000 8625000 xx^sil-w+a=k/A:-1+1+3/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_9|1_34/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
8625000 9625000 sil^w-a+k=a/A:-1+1+3/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_9|1_34/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
9625000 10225000 w^a-k+a=i/A:0+2+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_9|1_34/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
10225000 11325000 a^k-a+i=d/A:0+2+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_9|1_34/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
11325000 12024999 k^a-i+d=a/A:1+3+1/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_9|1_34/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
12024999 12425000 a^i-d+a=N/A:0+1+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
12425000 13325000 i^d-a+N=j/A:0+1+4/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
13325000 14225000 d^a-N+j=o/A:1+2+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
14225000 14725000 a^N-j+o=g/A:2+3+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
14725000 15325000 N^j-o+g=a/A:2+3+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
15325000 15925000 j^o-g+a=h/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
15925000 16425000 o^g-a+h=I/A:3+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:3_2!0_xx-1/F:4_1#0_xx@2_8|4_31/G:4_4%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
16425000 17225000 g^a-h+I=t/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:4_4#0_xx@3_7|8_27/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
17225000 17625000 a^h-I+t=o/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+3_1/E:4_1!0_xx-1/F:4_4#0_xx@3_7|8_27/G:4_1%0_xx_1/H:xx_xx/I:9-34@1+2&1-11|1+47/J:2_13/K:2+11-47
