0 2025000 xx^xx-sil+h=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:5+29-115
2025000 2525000 xx^sil-h+I=t/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
2525000 3025000 sil^h-I+t=o/A:-1+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
3025000 3625000 h^I-t+o=ts/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
3625000 4125000 I^t-o+ts=u/A:0+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
4125000 5525000 t^o-ts+u=n/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
5525000 6025000 o^ts-u+n=i/A:1+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
6025000 6324999 ts^u-n+i=w/A:2+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
6324999 7125000 u^n-i+w=a/A:2+4+2/B:02-xx_xx/C:13_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
7125000 8225000 n^i-w+a=pau/A:3+5+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
8225000 9625000 i^w-a+pau=s/A:3+5+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_1|1_5/G:8_4%0_xx_0/H:xx_xx/I:1-5@1+5&1-29|1+115/J:10_43/K:5+29-115
9625000 9925000 w^a-pau+s=e/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:5_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_4%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:10_43/K:5+29-115
9925000 11425000 a^pau-s+e=e/A:-3+1+8/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
11425000 12225000 pau^s-e+e=y/A:-3+1+8/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
12225000 13625000 s^e-e+y=o/A:-2+2+7/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
13625000 15025000 e^e-y+o=o/A:-1+3+6/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
15025000 15625000 e^y-o+o=j/A:-1+3+6/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
15625000 16325000 y^o-o+j=i/A:0+4+5/B:24-xx_xx/C:02_xx+xx/D:15+xx_xx/E:5_2!0_xx-0/F:8_4#0_xx@1_10|1_43/G:2_1%0_xx_1/H:1_5/I:10-43@2+4&2-28|6+110/J:2_7/K:5+29-115
