0 1724999 xx^xx-sil+t=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_15/K:2+6-36
1724999 2625000 xx^sil-t+a=i/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
2625000 3325000 sil^t-a+i=y/A:0+1+5/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
3325000 4225000 t^a-i+y=o/A:1+2+4/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
4225000 4925000 a^i-y+o=o/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
4925000 6025000 i^y-o+o=m/A:2+3+3/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
6025000 7025000 y^o-o+m=o/A:3+4+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
7025000 7325000 o^o-m+o=h/A:4+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
7325000 8725000 o^m-o+h=a/A:4+5+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_3|1_15/G:3_2%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
8725000 9025000 m^o-h+a=n/A:-1+1+3/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
9025000 9725000 o^h-a+n=a/A:-1+1+3/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
9725000 10225000 h^a-n+a=m/A:0+2+2/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
10225000 10925000 a^n-a+m=o/A:0+2+2/B:24-xx_xx/C:02_xx+xx/D:24+xx_xx/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
10925000 11525000 n^a-m+o=t/A:1+3+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
11525000 12125000 a^m-o+t=a/A:1+3+1/B:02-xx_xx/C:24_xx+xx/D:20+3_0/E:5_1!0_xx-1/F:3_2#0_xx@2_2|6_10/G:7_4%0_xx_1/H:xx_xx/I:3-15@1+2&1-6|1+36/J:3_21/K:2+6-36
