0 2925000 xx^xx-sil+h=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:12_50/K:2+17-74
2925000 3325000 xx^sil-h+e=e/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
3325000 4525000 sil^h-e+e=sh/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
4525000 5625000 h^e-e+sh=a/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
5625000 6225000 e^e-sh+a=n/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
6225000 6725000 e^sh-a+n=o/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
6725000 7025000 sh^a-n+o=e/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
7025000 7725000 a^n-o+e=N/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_12|1_50/G:6_3%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
7725000 9025000 n^o-e+N=j/A:-2+1+6/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:6_3#0_xx@2_11|5_46/G:9_6%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
9025000 9725000 o^e-N+j=i/A:-1+2+5/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:6_3#0_xx@2_11|5_46/G:9_6%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
9725000 10325000 e^N-j+i=n/A:0+3+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:6_3#0_xx@2_11|5_46/G:9_6%0_xx_1/H:xx_xx/I:12-50@1+2&1-17|1+74/J:5_24/K:2+17-74
