0 2925000 xx^xx-sil+f=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_25/K:1+5-25
2925000 4025000 xx^sil-f+u=r/A:-3+1+6/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4025000 4325000 sil^f-u+r=a/A:-3+1+6/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4325000 4825000 f^u-r+a=N/A:-2+2+5/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
4825000 6125000 u^r-a+N=s/A:-2+2+5/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
6125000 6425000 r^a-N+s=u/A:-1+3+4/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
6425000 7725000 a^N-s+u=j/A:0+4+3/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
7725000 8225000 N^s-u+j=i/A:0+4+3/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
8225000 9025000 s^u-j+i=N/A:1+5+2/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
9025000 10125000 u^j-i+N=sh/A:1+5+2/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
10125000 10425000 j^i-N+sh=e/A:2+6+1/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_4#0_xx@1_5|1_25/G:3_1%0_xx_1/H:xx_xx/I:5-25@1+1&1-5|1+25/J:xx_xx/K:1+5-25
