0 2824999 xx^xx-sil+y=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_2/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_23/K:1+7-23
2824999 3425000 xx^sil-y+u=r/A:-2+1+3/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
3425000 3925000 sil^y-u+r=e/A:-2+1+3/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
3925000 4225000 y^u-r+e=r/A:-1+2+2/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
4225000 5125000 u^r-e+r=u/A:-1+2+2/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
5125000 5725000 r^e-r+u=f/A:0+3+1/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
5725000 6324999 e^r-u+f=e/A:0+3+1/B:xx-xx_xx/C:20_3+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_7|1_23/G:4_1%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
6324999 7025000 r^u-f+e=r/A:0+1+4/B:20-3_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@2_6|4_20/G:2_2%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
7025000 8125000 u^f-e+r=i/A:0+1+4/B:20-3_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@2_6|4_20/G:2_2%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
8125000 8425000 f^e-r+i=i/A:1+2+3/B:20-3_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@2_6|4_20/G:2_2%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
8425000 9825000 e^r-i+i=n/A:1+2+3/B:20-3_2/C:02_xx+xx/D:13+xx_xx/E:3_3!0_xx-1/F:4_1#0_xx@2_6|4_20/G:2_2%0_xx_1/H:xx_xx/I:7-23@1+1&1-7|1+23/J:xx_xx/K:1+7-23
