0 6425000 xx^xx-sil+g=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_17/K:2+7-24
6425000 7225000 xx^sil-g+a=k/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
7225000 8025000 sil^g-a+k=U/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
8025000 8725000 g^a-k+U=f/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
8725000 9125000 a^k-U+f=u/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
9125000 9425000 k^U-f+u=n/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
9425000 10025000 U^f-u+n=i/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
10025000 10825000 f^u-n+i=ts/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
10825000 11825000 u^n-i+ts=u/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_6|1_17/G:3_2%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
11825000 12825000 n^i-ts+u=g/A:-1+1+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@2_5|5_13/G:3_1%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
12825000 13125000 i^ts-u+g=i/A:-1+1+3/B:13-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_2#0_xx@2_5|5_13/G:3_1%0_xx_1/H:xx_xx/I:6-17@1+2&1-7|1+24/J:1_7/K:2+7-24
