0 7524999 xx^xx-sil+sh=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_29/K:1+5-29
7524999 9125000 xx^sil-sh+o=p/A:-3+1+8/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
9125000 10125000 sil^sh-o+p=e/A:-3+1+8/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
10125000 10525000 sh^o-p+e=N/A:-2+2+7/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
10525000 11825000 o^p-e+N=h/A:-2+2+7/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
11825000 12125000 p^e-N+h=a/A:-1+3+6/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
12125000 13525000 e^N-h+a=u/A:0+4+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
13525000 14424999 N^h-a+u=e/A:0+4+5/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
14424999 15725000 h^a-u+e=r/A:1+5+4/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
15725000 16525000 a^u-e+r=u/A:2+6+3/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
16525000 16825000 u^e-r+u=t/A:3+7+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
16825000 17425000 e^r-u+t=o/A:3+7+2/B:xx-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
17425000 18225000 r^u-t+o=n/A:4+8+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
18225000 19925000 u^t-o+n=i/A:4+8+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:8_4#0_xx@1_5|1_29/G:4_1%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
19925000 21825000 t^o-n+i=i/A:0+1+4/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:8_4!0_xx-1/F:4_1#0_xx@2_4|9_21/G:6_6%0_xx_1/H:xx_xx/I:5-29@1+1&1-5|1+29/J:xx_xx/K:1+5-29
