0 3025000 xx^xx-sil+r=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:1+4-18
3025000 3825000 xx^sil-r+o=k/A:-4+1+5/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
3825000 4825000 sil^r-o+k=U/A:-4+1+5/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
4825000 5425000 r^o-k+U=s/A:-3+2+4/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
5425000 5925000 o^k-U+s=u/A:-3+2+4/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
5925000 7125000 k^U-s+u=cl/A:-2+3+3/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
7125000 8125000 U^s-u+cl=p/A:-2+3+3/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
8125000 8725000 s^u-cl+p=o/A:-1+4+2/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
8725000 9225000 u^cl-p+o=ky/A:0+5+1/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
9225000 9925000 cl^p-o+ky=u/A:0+5+1/B:xx-xx_xx/C:06_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_4|1_18/G:5_5%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
9925000 11525000 p^o-ky+u=u/A:-4+1+5/B:06-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:5_5#0_xx@2_3|6_13/G:3_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
11525000 12024999 o^ky-u+u=k/A:-4+1+5/B:06-xx_xx/C:03_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:5_5#0_xx@2_3|6_13/G:3_2%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
