0 6525000 xx^xx-sil+i=ts/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_18/K:1+4-18
6525000 7325000 xx^sil-i+ts=u/A:0+1+4/B:xx-xx_xx/C:06_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
7325000 8225000 sil^i-ts+u=m/A:1+2+3/B:xx-xx_xx/C:06_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
8225000 8625000 i^ts-u+m=o/A:1+2+3/B:xx-xx_xx/C:06_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
8625000 9025000 ts^u-m+o=n/A:2+3+2/B:xx-xx_xx/C:06_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
9025000 9925000 u^m-o+n=o/A:2+3+2/B:xx-xx_xx/C:06_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
9925000 10225000 m^o-n+o=t/A:3+4+1/B:06-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
10225000 11225000 o^n-o+t=o/A:3+4+1/B:06-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_4|1_18/G:3_3%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
11225000 11825000 n^o-t+o=o/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:06+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_3|5_14/G:4_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
11825000 12525000 o^t-o+o=r/A:-2+1+3/B:23-xx_xx/C:02_xx+xx/D:06+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_3|5_14/G:4_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
12525000 13125000 t^o-o+r=i/A:-1+2+2/B:23-xx_xx/C:02_xx+xx/D:06+xx_xx/E:4_1!0_xx-1/F:3_3#0_xx@2_3|5_14/G:4_1%0_xx_1/H:xx_xx/I:4-18@1+1&1-4|1+18/J:xx_xx/K:1+4-18
