0 1925000 xx^xx-sil+y=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_26/K:1+6-26
1925000 2625000 xx^sil-y+a=m/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
2625000 3025000 sil^y-a+m=a/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
3025000 3725000 y^a-m+a=n/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
3725000 4325000 a^m-a+n=o/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
4325000 4925000 m^a-n+o=m/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
4925000 5925000 a^n-o+m=u/A:1+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_6|1_26/G:4_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
5925000 6225000 n^o-m+u=k/A:-1+1+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
6225000 7225000 o^m-u+k=o/A:-1+1+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
7225000 7725000 m^u-k+o=o/A:0+2+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
7725000 9325000 u^k-o+o=n/A:0+2+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
9325000 10025000 k^o-o+n=o/A:1+3+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
10025000 11625000 o^o-n+o=my/A:2+4+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
11625000 13225000 o^n-o+my=u/A:2+4+1/B:02-xx_xx/C:23_xx+xx/D:18+xx_xx/E:3_2!0_xx-1/F:4_2#0_xx@2_5|4_23/G:5_1%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
13225000 14025000 n^o-my+u=N/A:0+1+5/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
14025000 14325000 o^my-u+N=h/A:0+1+5/B:23-xx_xx/C:18_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:5_1#0_xx@3_4|8_19/G:5_2%0_xx_1/H:xx_xx/I:6-26@1+1&1-6|1+26/J:xx_xx/K:1+6-26
