0 7225000 xx^xx-sil+b=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:13_13%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_13/K:2+5-31
7225000 7725000 xx^sil-b+a=N/A:-12+1+13/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
7725000 8825000 sil^b-a+N=d/A:-12+1+13/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
8825000 9825000 b^a-N+d=a/A:-11+2+12/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
9825000 10225000 a^N-d+a=a/A:-10+3+11/B:02-xx_xx/C:02_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
10225000 12024999 N^d-a+a=v/A:-10+3+11/B:02-xx_xx/C:02_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
12024999 12325000 d^a-a+v=o/A:-9+4+10/B:02-xx_xx/C:02_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
12325000 13525000 a^a-v+o=cl/A:-8+5+9/B:02-xx_xx/C:09_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
13525000 14424999 a^v-o+cl=t/A:-8+5+9/B:02-xx_xx/C:09_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
14424999 15025000 v^o-cl+t=o/A:-7+6+8/B:02-xx_xx/C:09_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
15025000 15625000 o^cl-t+o=t/A:-6+7+7/B:02-xx_xx/C:09_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:13_13#0_xx@1_1|1_13/G:4_3%0_xx_0/H:xx_xx/I:1-13@1+2&1-5|1+31/J:4_18/K:2+5-31
