0 2824999 xx^xx-sil+n=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:09+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_24/K:2+7-42
2824999 3425000 xx^sil-n+u=r/A:-1+1+5/B:xx-xx_xx/C:09_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
3425000 4125000 sil^n-u+r=u/A:-1+1+5/B:xx-xx_xx/C:09_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
4125000 4625000 n^u-r+u=sh/A:0+2+4/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
4625000 4925000 u^r-u+sh=i/A:0+2+4/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
4925000 6125000 r^u-sh+i=a/A:1+3+3/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
6125000 6425000 u^sh-i+a=n/A:1+3+3/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
6425000 7725000 sh^i-a+n=o/A:2+4+2/B:09-xx_xx/C:18_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
7725000 8225000 i^a-n+o=b/A:3+5+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
8225000 9225000 a^n-o+b=e/A:3+5+1/B:18-xx_xx/C:23_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_2#0_xx@1_4|1_24/G:7_4%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
9225000 10025000 n^o-b+e=n/A:-3+1+7/B:23-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_2!0_xx-1/F:7_4#0_xx@2_3|6_19/G:9_5%0_xx_1/H:xx_xx/I:4-24@1+2&1-7|1+42/J:3_18/K:2+7-42
