0 1125000 xx^xx-sil+ch=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_7/K:2+7-29
1125000 2325000 xx^sil-ch+o=o/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_7/G:2_2%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
2325000 3725000 sil^ch-o+o=d/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_7/G:2_2%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
3725000 4425000 ch^o-o+d=o/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_7/G:2_2%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
4425000 4925000 o^o-d+o=s/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_7/G:2_2%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
4925000 6025000 o^d-o+s=o/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:07+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_7/G:2_2%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
6025000 6425000 d^o-s+o=n/A:-1+1+2/B:06-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@2_2|4_4/G:2_1%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
6425000 6825000 o^s-o+n=o/A:-1+1+2/B:06-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@2_2|4_4/G:2_1%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
6825000 7825000 s^o-n+o=t/A:0+2+1/B:06-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@2_2|4_4/G:2_1%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
7825000 8225000 o^n-o+t=o/A:0+2+1/B:06-xx_xx/C:07_xx+xx/D:22+xx_xx/E:3_3!0_xx-1/F:2_2#0_xx@2_2|4_4/G:2_1%0_xx_1/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
8225000 8825000 n^o-t+o=k/A:0+1+2/B:07-xx_xx/C:22_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_1#0_xx@3_1|6_2/G:7_3%0_xx_0/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
8825000 9625000 o^t-o+k=i/A:0+1+2/B:07-xx_xx/C:22_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_1#0_xx@3_1|6_2/G:7_3%0_xx_0/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
9625000 11525000 t^o-k+i=pau/A:1+2+1/B:07-xx_xx/C:22_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_1#0_xx@3_1|6_2/G:7_3%0_xx_0/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
11525000 12225000 o^k-i+pau=d/A:1+2+1/B:07-xx_xx/C:22_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_1#0_xx@3_1|6_2/G:7_3%0_xx_0/H:xx_xx/I:3-7@1+2&1-7|1+29/J:4_22/K:2+7-29
12225000 13025000 k^i-pau+d=e/A:xx+xx+xx/B:22-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_3%0_xx_xx/H:3_7/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_22/K:2+7-29
13025000 13725000 i^pau-d+e=s/A:-2+1+7/B:22-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
13725000 14825000 pau^d-e+s=U/A:-2+1+7/B:22-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
14825000 15125000 d^e-s+U=t/A:-1+2+6/B:22-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
15125000 16125000 e^s-U+t=u/A:-1+2+6/B:22-xx_xx/C:02_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
16125000 16825000 s^U-t+u=p/A:0+3+5/B:02-xx_xx/C:09_xx+xx/D:18+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
16825000 17525000 U^t-u+p=a/A:0+3+5/B:02-xx_xx/C:09_xx+xx/D:18+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
17525000 19025000 t^u-p+a=a/A:1+4+4/B:09-xx_xx/C:18_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
19025000 19525000 u^p-a+a=g/A:1+4+4/B:09-xx_xx/C:18_xx+xx/D:09+xx_xx/E:2_1!0_xx-0/F:7_3#0_xx@1_4|1_22/G:4_4%0_xx_1/H:3_7/I:4-22@2+1&4-4|8+22/J:xx_xx/K:2+7-29
