0 3725000 xx^xx-sil+ky=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:18_8%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_26/K:2+7-47
3725000 4525000 xx^sil-ky+a=k/A:-7+1+18/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
4525000 5125000 sil^ky-a+k=U/A:-7+1+18/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
5125000 6225000 ky^a-k+U=h/A:-6+2+17/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
6225000 6525000 a^k-U+h=o/A:-6+2+17/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
6525000 7025000 k^U-h+o=N/A:-5+3+16/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
7025000 8325000 U^h-o+N=s/A:-5+3+16/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
8325000 8725000 h^o-N+s=a/A:-4+4+15/B:xx-xx_xx/C:02_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
8725000 9325000 o^N-s+a=k/A:-3+5+14/B:02-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
9325000 10025000 N^s-a+k=U/A:-3+5+14/B:02-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
10025000 10325000 s^a-k+U=sh/A:-2+6+13/B:02-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:18_8#0_xx@1_2|1_26/G:8_1%0_xx_1/H:xx_xx/I:2-26@1+2&1-7|1+47/J:5_21/K:2+7-47
