0 5125000 xx^xx-sil+k=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_20/K:1+2-20
5125000 6025000 xx^sil-k+e=cl/A:-3+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
6025000 7225000 sil^k-e+cl=ky/A:-3+1+5/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
7225000 7524999 k^e-cl+ky=o/A:-2+2+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
7524999 8425000 e^cl-ky+o=k/A:-1+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
8425000 8825000 cl^ky-o+k=u/A:-1+3+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
8825000 9325000 ky^o-k+u=n/A:0+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
9325000 9825000 o^k-u+n=o/A:0+4+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
9825000 10525000 k^u-n+o=t/A:1+5+1/B:02-xx_xx/C:23_xx+xx/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
10525000 11325000 u^n-o+t=o/A:1+5+1/B:02-xx_xx/C:23_xx+xx/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:5_4#0_xx@1_2|1_20/G:15_12%0_xx_1/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
11325000 11825000 n^o-t+o=k/A:-11+1+15/B:23-xx_xx/C:22_xx+xx/D:02+xx_xx/E:5_4!0_xx-1/F:15_12#0_xx@2_1|6_15/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-20@1+1&1-2|1+20/J:xx_xx/K:1+2-20
