0 3825000 xx^xx-sil+k=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_23/K:1+5-23
3825000 4525000 xx^sil-k+i=r/A:-1+1+4/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
4525000 5024999 sil^k-i+r=e/A:-1+1+4/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
5024999 5325000 k^i-r+e=a/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
5325000 6225000 i^r-e+a=j/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
6225000 7425000 r^e-a+j=i/A:1+3+2/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
7425000 8025000 e^a-j+i=s/A:2+4+1/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
8025000 8325000 a^j-i+s=u/A:2+4+1/B:xx-xx_xx/C:02_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_5|1_23/G:4_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
8325000 9425000 j^i-s+u=r/A:-2+1+4/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
9425000 10025000 i^s-u+r=u/A:-2+1+4/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
10025000 10725000 s^u-r+u=d/A:-1+2+3/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
10725000 11125000 u^r-u+d=o/A:-1+2+3/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11125000 11825000 r^u-d+o=i/A:0+3+2/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11825000 12625000 u^d-o+i=p/A:0+3+2/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
12625000 12925000 d^o-i+p=e/A:1+4+1/B:02-xx_xx/C:01_7+2/D:02+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_4|5_19/G:6_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
12925000 13925000 o^i-p+e=t/A:-2+1+6/B:01-7_2/C:02_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:6_3#0_xx@3_3|9_15/G:7_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
13925000 14825000 i^p-e+t=i/A:-2+1+6/B:01-7_2/C:02_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:6_3#0_xx@3_3|9_15/G:7_4%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
