0 4925000 xx^xx-sil+y=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_22/K:1+5-22
4925000 5825000 xx^sil-y+u=b/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
5825000 6125000 sil^y-u+b=i/A:-1+1+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
6125000 6825000 y^u-b+i=o/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
6825000 7625000 u^b-i+o=k/A:0+2+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
7625000 8525000 b^i-o+k=u/A:1+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_22/G:4_3%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
8525000 9325000 i^o-k+u=w/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_2!0_xx-1/F:4_3#0_xx@2_4|4_19/G:3_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
9325000 9625000 o^k-u+w=a/A:-2+1+4/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_2!0_xx-1/F:4_3#0_xx@2_4|4_19/G:3_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
9625000 10425000 k^u-w+a=e/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_2!0_xx-1/F:4_3#0_xx@2_4|4_19/G:3_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
10425000 11125000 u^w-a+e=t/A:-1+2+3/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_2!0_xx-1/F:4_3#0_xx@2_4|4_19/G:3_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
11125000 11725000 w^a-e+t=e/A:0+3+2/B:13-xx_xx/C:20_3+1/D:12+xx_xx/E:3_2!0_xx-1/F:4_3#0_xx@2_4|4_19/G:3_1%0_xx_1/H:xx_xx/I:5-22@1+1&1-5|1+22/J:xx_xx/K:1+5-22
