0 4325000 xx^xx-sil+t=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:1+5-17
4325000 5225000 xx^sil-t+a=k/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
5225000 5725000 sil^t-a+k=o/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
5725000 6425000 t^a-k+o=n/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
6425000 7325000 a^k-o+n=o/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
7325000 7825000 k^o-n+o=g/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
7825000 8325000 o^n-o+g=u/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_5|1_17/G:4_1%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
8325000 9125000 n^o-g+u=ny/A:0+1+4/B:23-xx_xx/C:06_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:4_1#0_xx@2_4|4_14/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
9125000 9625000 o^g-u+ny=a/A:0+1+4/B:23-xx_xx/C:06_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:4_1#0_xx@2_4|4_14/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
9625000 10825000 g^u-ny+a=g/A:1+2+3/B:23-xx_xx/C:06_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:4_1#0_xx@2_4|4_14/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
10825000 11225000 u^ny-a+g=u/A:1+2+3/B:23-xx_xx/C:06_xx+xx/D:20+4_1/E:3_1!0_xx-1/F:4_1#0_xx@2_4|4_14/G:2_2%0_xx_1/H:xx_xx/I:5-17@1+1&1-5|1+17/J:xx_xx/K:1+5-17
