0 2725000 xx^xx-sil+o=y/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+8-28
2725000 3325000 xx^sil-o+y=o/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:4_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
3325000 3625000 sil^o-y+o=s/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:4_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
3625000 4125000 o^y-o+s=o/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:4_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
4125000 5325000 y^o-s+o=hy/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:4_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
5325000 5825000 o^s-o+hy=a/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_3|1_11/G:4_2%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
5825000 6725000 s^o-hy+a=k/A:-1+1+4/B:06-xx_xx/C:05_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:4_2#0_xx@2_2|4_8/G:4_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
6725000 7524999 o^hy-a+k=u/A:-1+1+4/B:06-xx_xx/C:05_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:4_2#0_xx@2_2|4_8/G:4_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
7524999 7925000 hy^a-k+u=n/A:0+2+3/B:06-xx_xx/C:05_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:4_2#0_xx@2_2|4_8/G:4_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
7925000 8225000 a^k-u+n=e/A:0+2+3/B:06-xx_xx/C:05_xx+xx/D:15+xx_xx/E:3_3!0_xx-1/F:4_2#0_xx@2_2|4_8/G:4_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
8225000 8925000 k^u-n+e=N/A:1+3+2/B:05-xx_xx/C:15_xx+xx/D:02+xx_xx/E:3_3!0_xx-1/F:4_2#0_xx@2_2|4_8/G:4_1%0_xx_1/H:xx_xx/I:3-11@1+2&1-8|1+28/J:5_17/K:2+8-28
