0 4825000 xx^xx-sil+o=m/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_16/K:2+8-31
4825000 5125000 xx^sil-o+m=o/A:-1+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
5125000 5925000 sil^o-m+o=ch/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
5925000 6825000 o^m-o+ch=a/A:0+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
6825000 7325000 m^o-ch+a=n/A:1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
7325000 8125000 o^ch-a+n=o/A:1+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
8125000 8525000 ch^a-n+o=k/A:2+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
8525000 9125000 a^n-o+k=a/A:2+4+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_4|1_16/G:4_3%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
9125000 9825000 n^o-k+a=t/A:-2+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_3|5_12/G:3_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
9825000 10325000 o^k-a+t=a/A:-2+1+4/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_3|5_12/G:3_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
10325000 10925000 k^a-t+a=n/A:-1+2+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_2!0_xx-1/F:4_3#0_xx@2_3|5_12/G:3_1%0_xx_1/H:xx_xx/I:4-16@1+2&1-8|1+31/J:4_15/K:2+8-31
