0 4325000 xx^xx-sil+ch=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:01+7_2/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_15/K:2+7-27
4325000 5425000 xx^sil-ch+i=i/A:-2+1+4/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
5425000 6425000 sil^ch-i+i=s/A:-2+1+4/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
6425000 6725000 ch^i-i+s=a/A:-1+2+3/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
6725000 7425000 i^i-s+a=i/A:0+3+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
7425000 8125000 i^s-a+i=h/A:0+3+2/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
8125000 8625000 s^a-i+h=o/A:1+4+1/B:xx-xx_xx/C:01_7+2/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_3#0_xx@1_4|1_15/G:3_3%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
8625000 9425000 a^i-h+o=sh/A:-2+1+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_3#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
9425000 9825000 i^h-o+sh=i/A:-2+1+3/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_3#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
9825000 11025000 h^o-sh+i=o/A:-1+2+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_3#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
11025000 11325000 o^sh-i+o=t/A:-1+2+2/B:01-7_2/C:02_xx+xx/D:13+xx_xx/E:4_3!0_xx-1/F:3_3#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
11325000 12625000 sh^i-o+t=a/A:0+3+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:3_3#0_xx@2_3|5_11/G:4_4%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
12625000 13125000 i^o-t+a=k/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
13125000 14025000 o^t-a+k=U/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
14025000 14424999 t^a-k+U=s/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
14424999 14725000 a^k-U+s=a/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
14725000 15525000 k^U-s+a=N/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
15525000 16825000 U^s-a+N=e/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:20+1_1/E:3_3!0_xx-1/F:4_4#0_xx@3_2|8_8/G:4_2%0_xx_1/H:xx_xx/I:4-15@1+2&1-7|1+27/J:3_12/K:2+7-27
