0 3625000 xx^xx-sil+e=w/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:2_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_2/K:4+10-38
3625000 4425000 xx^sil-e+w=a/A:-1+1+2/B:xx-xx_xx/C:02_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_1|1_2/G:3_1%0_xx_0/H:xx_xx/I:1-2@1+4&1-10|1+38/J:4_13/K:4+10-38
4425000 5325000 sil^e-w+a=pau/A:0+2+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_1|1_2/G:3_1%0_xx_0/H:xx_xx/I:1-2@1+4&1-10|1+38/J:4_13/K:4+10-38
5325000 7125000 e^w-a+pau=n/A:0+2+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:2_2#0_xx@1_1|1_2/G:3_1%0_xx_0/H:xx_xx/I:1-2@1+4&1-10|1+38/J:4_13/K:4+10-38
7125000 8125000 w^a-pau+n=e/A:xx+xx+xx/B:24-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:1_2/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_13/K:4+10-38
8125000 9025000 a^pau-n+e=k/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
9025000 9725000 pau^n-e+k=o/A:0+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
9725000 10425000 n^e-k+o=n/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
10425000 11125000 e^k-o+n=o/A:1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
11125000 11425000 k^o-n+o=sh/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
11425000 11825000 o^n-o+sh=i/A:2+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:2_2!0_xx-0/F:3_1#0_xx@1_4|1_13/G:5_3%0_xx_1/H:1_2/I:4-13@2+3&2-9|3+36/J:3_17/K:4+10-38
