0 3325000 xx^xx-sil+n=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:11_9%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_26/K:1+2-26
3325000 3925000 xx^sil-n+i=cl/A:-8+1+11/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
3925000 4525000 sil^n-i+cl=k/A:-8+1+11/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
4525000 5325000 n^i-cl+k=a/A:-7+2+10/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
5325000 6125000 i^cl-k+a=N/A:-6+3+9/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
6125000 7025000 cl^k-a+N=s/A:-6+3+9/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
7025000 7325000 k^a-N+s=e/A:-5+4+8/B:xx-xx_xx/C:02_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
7325000 8425000 a^N-s+e=N/A:-4+5+7/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
8425000 8725000 N^s-e+N=t/A:-4+5+7/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
8725000 9825000 s^e-N+t=i/A:-3+6+6/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
9825000 10225000 e^N-t+i=n/A:-2+7+5/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
10225000 10725000 N^t-i+n=a/A:-2+7+5/B:02-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
10725000 11425000 t^i-n+a=r/A:-1+8+4/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
11425000 12024999 i^n-a+r=u/A:-1+8+4/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
12024999 12525000 n^a-r+u=sh/A:0+9+3/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
12525000 12825000 a^r-u+sh=i/A:0+9+3/B:18-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
12825000 13825000 r^u-sh+i=n/A:1+10+2/B:18-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:11_9#0_xx@1_2|1_26/G:15_15%0_xx_1/H:xx_xx/I:2-26@1+1&1-2|1+26/J:xx_xx/K:1+2-26
