0 2625000 xx^xx-sil+a=N/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:1_5/K:2+4-22
2625000 3425000 xx^sil-a+N=s/A:0+1+5/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
3425000 4225000 sil^a-N+s=o/A:1+2+4/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
4225000 5125000 a^N-s+o=n/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
5125000 5625000 N^s-o+n=i/A:2+3+3/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
5625000 6525000 s^o-n+i=i/A:3+4+2/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
6525000 7425000 o^n-i+i=pau/A:3+4+2/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
7425000 8525000 n^i-i+pau=h/A:4+5+1/B:xx-xx_xx/C:18_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:5_1#0_xx@1_1|1_5/G:6_1%0_xx_0/H:xx_xx/I:1-5@1+2&1-4|1+22/J:3_17/K:2+4-22
8525000 9625000 i^i-pau+h=o/A:xx+xx+xx/B:18-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:5_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_1%0_xx_xx/H:1_5/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_17/K:2+4-22
9625000 10025000 i^pau-h+o=p/A:0+1+6/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
10025000 10325000 pau^h-o+p=U/A:0+1+6/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
10325000 11325000 h^o-p+U=k/A:1+2+5/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
11325000 12024999 o^p-U+k=i/A:1+2+5/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
12024999 12625000 p^U-k+i=N/A:2+3+4/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
12625000 14225000 U^k-i+N=s/A:2+3+4/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
14225000 14524999 k^i-N+s=u/A:3+4+3/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
14524999 15825000 i^N-s+u=w/A:4+5+2/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
15825000 16925000 N^s-u+w=a/A:4+5+2/B:18-xx_xx/C:18_xx+xx/D:24+xx_xx/E:5_1!0_xx-0/F:6_1#0_xx@1_3|1_17/G:5_5%0_xx_1/H:1_5/I:3-17@2+1&2-3|6+17/J:xx_xx/K:2+4-22
