0 6125000 xx^xx-sil+o=h/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:16+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:1_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_25/K:1+7-25
6125000 7025000 xx^sil-o+h=i/A:0+1+1/B:xx-xx_xx/C:16_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:1_1#0_xx@1_7|1_25/G:4_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
7025000 7925000 sil^o-h+i=r/A:-2+1+4/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
7925000 8525000 o^h-i+r=u/A:-2+1+4/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
8525000 8825000 h^i-r+u=m/A:-1+2+3/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
8825000 9225000 i^r-u+m=a/A:-1+2+3/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
9225000 9925000 r^u-m+a=e/A:0+3+2/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
9925000 10425000 u^m-a+e=j/A:0+3+2/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
10425000 11825000 m^a-e+j=a/A:1+4+1/B:16-xx_xx/C:02_xx+xx/D:18+xx_xx/E:1_1!0_xx-1/F:4_3#0_xx@2_6|2_24/G:6_1%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
11825000 12525000 a^e-j+a=s/A:0+1+6/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
12525000 13325000 e^j-a+s=U/A:0+1+6/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
13325000 13725000 j^a-s+U=p/A:1+2+5/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
13725000 14025000 a^s-U+p=a/A:1+2+5/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
14025000 15025000 s^U-p+a=a/A:2+3+4/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
15025000 16125000 U^p-a+a=s/A:2+3+4/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
16125000 17325000 p^a-a+s=a/A:3+4+3/B:02-xx_xx/C:18_xx+xx/D:15+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
17325000 18025000 a^a-s+a=N/A:4+5+2/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
18025000 18725000 a^s-a+N=t/A:4+5+2/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
18725000 19225000 s^a-N+t=a/A:5+6+1/B:18-xx_xx/C:15_xx+xx/D:02+xx_xx/E:4_3!0_xx-1/F:6_1#0_xx@3_5|6_20/G:3_3%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
19225000 19925000 a^N-t+a=k/A:-2+1+3/B:15-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_1!0_xx-1/F:3_3#0_xx@4_4|12_14/G:4_4%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
19925000 20724999 N^t-a+k=u/A:-2+1+3/B:15-xx_xx/C:02_xx+xx/D:13+xx_xx/E:6_1!0_xx-1/F:3_3#0_xx@4_4|12_14/G:4_4%0_xx_1/H:xx_xx/I:7-25@1+1&1-7|1+25/J:xx_xx/K:1+7-25
