0 3825000 xx^xx-sil+y=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_6%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_8/K:2+5-19
3825000 4325000 xx^sil-y+o=m/A:-5+1+6/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
4325000 4825000 sil^y-o+m=i/A:-5+1+6/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
4825000 5525000 y^o-m+i=s/A:-4+2+5/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
5525000 6025000 o^m-i+s=u/A:-4+2+5/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
6025000 6925000 m^i-s+u=s/A:-3+3+4/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
6925000 7325000 i^s-u+s=u/A:-3+3+4/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
7325000 8225000 s^u-s+u=m/A:-2+4+3/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
8225000 8725000 u^s-u+m=u/A:-2+4+3/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
8725000 9025000 s^u-m+u=n/A:-1+5+2/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
9025000 9725000 u^m-u+n=i/A:-1+5+2/B:xx-xx_xx/C:20_1+2/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
9725000 10625000 m^u-n+i=ts/A:0+6+1/B:20-1_2/C:13_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
10625000 11725000 u^n-i+ts=u/A:0+6+1/B:20-1_2/C:13_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:6_6#0_xx@1_2|1_8/G:2_2%0_xx_1/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
11725000 12625000 n^i-ts+u=r/A:-1+1+2/B:13-xx_xx/C:20_3+1/D:06+xx_xx/E:6_6!0_xx-1/F:2_2#0_xx@2_1|7_2/G:4_2%0_xx_0/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
12625000 12925000 i^ts-u+r=e/A:-1+1+2/B:13-xx_xx/C:20_3+1/D:06+xx_xx/E:6_6!0_xx-1/F:2_2#0_xx@2_1|7_2/G:4_2%0_xx_0/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
12925000 13325000 ts^u-r+e=pau/A:0+2+1/B:13-xx_xx/C:20_3+1/D:06+xx_xx/E:6_6!0_xx-1/F:2_2#0_xx@2_1|7_2/G:4_2%0_xx_0/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
13325000 15425000 u^r-e+pau=m/A:0+2+1/B:13-xx_xx/C:20_3+1/D:06+xx_xx/E:6_6!0_xx-1/F:2_2#0_xx@2_1|7_2/G:4_2%0_xx_0/H:xx_xx/I:2-8@1+2&1-5|1+19/J:3_11/K:2+5-19
15425000 16525000 r^e-pau+m=a/A:xx+xx+xx/B:20-3_1/C:xx_xx+xx/D:06+xx_xx/E:2_2!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:2_8/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_11/K:2+5-19
16525000 16825000 e^pau-m+a=s/A:-1+1+4/B:20-3_1/C:06_xx+xx/D:02+xx_xx/E:2_2!0_xx-0/F:4_2#0_xx@1_3|1_11/G:4_1%0_xx_1/H:2_8/I:3-11@2+1&3-3|9+11/J:xx_xx/K:2+5-19
16825000 17425000 pau^m-a+s=u/A:-1+1+4/B:20-3_1/C:06_xx+xx/D:02+xx_xx/E:2_2!0_xx-0/F:4_2#0_xx@1_3|1_11/G:4_1%0_xx_1/H:2_8/I:3-11@2+1&3-3|9+11/J:xx_xx/K:2+5-19
