0 5325000 xx^xx-sil+ch=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_9/K:2+8-30
5325000 6025000 xx^sil-ch+I=hy/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
6025000 6525000 sil^ch-I+hy=o/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
6525000 7524999 ch^I-hy+o=o/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
7524999 9525000 I^hy-o+o=o/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
9525000 10125000 hy^o-o+o=ry/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
10125000 11025000 o^o-o+ry=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_3|1_9/G:3_3%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
11025000 11425000 o^o-ry+o=k/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@2_2|5_5/G:2_2%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
11425000 12425000 o^ry-o+k=U/A:-2+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@2_2|5_5/G:2_2%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
12425000 12725000 ry^o-k+U=k/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@2_2|5_5/G:2_2%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
12725000 13425000 o^k-U+k=a/A:-1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_1/E:4_4!0_xx-1/F:3_3#0_xx@2_2|5_5/G:2_2%0_xx_1/H:xx_xx/I:3-9@1+2&1-8|1+30/J:5_21/K:2+8-30
