0 3525000 xx^xx-sil+j=i/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_4%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_18/K:2+9-39
3525000 4325000 xx^sil-j+i=b/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
4325000 4725000 sil^j-i+b=u/A:-3+1+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
4725000 5225000 j^i-b+u=N/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
5225000 5625000 i^b-u+N=o/A:-2+2+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
5625000 5925000 b^u-N+o=hy/A:-1+3+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
5925000 7625000 u^N-o+hy=o/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:4_4#0_xx@1_5|1_18/G:3_1%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
7625000 8925000 N^o-hy+o=o/A:0+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_14/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
8925000 9825000 o^hy-o+o=k/A:0+1+3/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_14/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
9825000 10625000 hy^o-o+k=a/A:1+2+2/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_14/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
10625000 11025000 o^o-k+a=s/A:2+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_14/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
11025000 12125000 o^k-a+s=u/A:2+3+1/B:13-xx_xx/C:03_xx+xx/D:20+4_2/E:4_4!0_xx-1/F:3_1#0_xx@2_4|5_14/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
12125000 12725000 k^a-s+u=r/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|8_11/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
12725000 13025000 a^s-u+r=u/A:-1+1+2/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|8_11/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
13025000 13325000 s^u-r+u=n/A:0+2+1/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|8_11/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
13325000 14125000 u^r-u+n=o/A:0+2+1/B:03-xx_xx/C:20_4+2/D:22+xx_xx/E:3_1!0_xx-1/F:2_2#0_xx@3_3|8_11/G:2_2%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
14125000 14424999 r^u-n+o=w/A:-1+1+2/B:20-4_2/C:22_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@4_2|10_9/G:7_7%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
14424999 14825000 u^n-o+w=a/A:-1+1+2/B:20-4_2/C:22_xx+xx/D:24+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@4_2|10_9/G:7_7%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
14825000 15325000 n^o-w+a=k/A:0+2+1/B:22-xx_xx/C:24_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@4_2|10_9/G:7_7%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
15325000 16425000 o^w-a+k=a/A:0+2+1/B:22-xx_xx/C:24_xx+xx/D:02+xx_xx/E:2_2!0_xx-1/F:2_2#0_xx@4_2|10_9/G:7_7%0_xx_1/H:xx_xx/I:5-18@1+2&1-9|1+39/J:4_21/K:2+9-39
