0 5024999 xx^xx-sil+y=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_29/K:1+9-29
5024999 5525000 xx^sil-y+o=r/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
5525000 5925000 sil^y-o+r=u/A:0+1+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
5925000 6525000 y^o-r+u=n/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
6525000 7025000 o^r-u+n=i/A:1+2+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
7025000 7825000 r^u-n+i=f/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
7825000 8225000 u^n-i+f=u/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:3_1#0_xx@1_9|1_29/G:2_1%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
8225000 9425000 n^i-f+u=k/A:0+1+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_8|4_26/G:3_3%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
9425000 9725000 i^f-u+k=U/A:0+1+2/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_8|4_26/G:3_3%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
9725000 10325000 f^u-k+U=k/A:1+2+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_8|4_26/G:3_3%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
10325000 11025000 u^k-U+k=a/A:1+2+1/B:13-xx_xx/C:20_1+2/D:02+xx_xx/E:3_1!0_xx-1/F:2_1#0_xx@2_8|4_26/G:3_3%0_xx_1/H:xx_xx/I:9-29@1+1&1-9|1+29/J:xx_xx/K:1+9-29
