0 2725000 xx^xx-sil+d=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:06+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:6_20/K:2+8-26
2725000 3325000 xx^sil-d+o=o/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_20/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
3325000 4525000 sil^d-o+o=s/A:-2+1+3/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_20/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
4525000 5625000 d^o-o+s=e/A:-1+2+2/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_20/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
5625000 6125000 o^o-s+e=w/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_20/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
6125000 6525000 o^s-e+w=a/A:0+3+1/B:xx-xx_xx/C:06_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:3_3#0_xx@1_6|1_20/G:4_4%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
6525000 7225000 s^e-w+a=t/A:-3+1+4/B:06-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@2_5|4_17/G:3_2%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
7225000 7825000 e^w-a+t=a/A:-3+1+4/B:06-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@2_5|4_17/G:3_2%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
7825000 8125000 w^a-t+a=sh/A:-2+2+3/B:06-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@2_5|4_17/G:3_2%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
8125000 9125000 a^t-a+sh=i/A:-2+2+3/B:06-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@2_5|4_17/G:3_2%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
9125000 9425000 t^a-sh+i=w/A:-1+3+2/B:06-xx_xx/C:04_xx+xx/D:24+xx_xx/E:3_3!0_xx-1/F:4_4#0_xx@2_5|4_17/G:3_2%0_xx_1/H:xx_xx/I:6-20@1+2&1-8|1+26/J:2_6/K:2+8-26
