0 1724999 xx^xx-sil+b=e/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:03+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:7_7%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_15/K:1+2-15
1724999 2525000 xx^sil-b+e=N/A:-6+1+7/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
2525000 3425000 sil^b-e+N=ky/A:-6+1+7/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
3425000 4625000 b^e-N+ky=o/A:-5+2+6/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
4625000 5225000 e^N-ky+o=o/A:-4+3+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
5225000 6825000 N^ky-o+o=ch/A:-4+3+5/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
6825000 7925000 ky^o-o+ch=u/A:-3+4+4/B:xx-xx_xx/C:03_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
7925000 8325000 o^o-ch+u=u/A:-2+5+3/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
8325000 8625000 o^ch-u+u=w/A:-2+5+3/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
8625000 9825000 ch^u-u+w=a/A:-1+6+2/B:03-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
9825000 10125000 u^u-w+a=h/A:0+7+1/B:15-xx_xx/C:24_xx+xx/D:20+3_0/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
10125000 11225000 u^w-a+h=a/A:0+7+1/B:15-xx_xx/C:24_xx+xx/D:20+3_0/E:xx_xx!xx_xx-xx/F:7_7#0_xx@1_2|1_15/G:8_5%0_xx_1/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
11225000 11525000 w^a-h+a=n/A:-4+1+8/B:24-xx_xx/C:20_3+0/D:10+7_1/E:7_7!0_xx-1/F:8_5#0_xx@2_1|8_8/G:xx_xx%xx_xx_xx/H:xx_xx/I:2-15@1+1&1-2|1+15/J:xx_xx/K:1+2-15
