0 3025000 xx^xx-sil+j=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:6_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_15/K:1+3-15
3025000 3425000 xx^sil-j+o=o/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
3425000 4925000 sil^j-o+o=ry/A:-2+1+6/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
4925000 5825000 j^o-o+ry=u/A:-1+2+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
5825000 6324999 o^o-ry+u=u/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
6324999 6625000 o^ry-u+u=sh/A:0+3+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
6625000 7925000 ry^u-u+sh=u/A:1+4+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
7925000 8225000 u^u-sh+u=n/A:2+5+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
8225000 8925000 u^sh-u+n=i/A:2+5+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
8925000 9525000 sh^u-n+i=my/A:3+6+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
9525000 11225000 u^n-i+my=o/A:3+6+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:6_3#0_xx@1_3|1_15/G:5_5%0_xx_1/H:xx_xx/I:3-15@1+1&1-3|1+15/J:xx_xx/K:1+3-15
