0 3225000 xx^xx-sil+sh=I/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:08+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_16/K:1+5-16
3225000 4425000 xx^sil-sh+I=k/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
4425000 4725000 sil^sh-I+k=a/A:-1+1+3/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
4725000 5325000 sh^I-k+a=sh/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
5325000 5825000 I^k-a+sh=I/A:0+2+2/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
5825000 7225000 k^a-sh+I=p/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
7225000 7524999 a^sh-I+p=a/A:1+3+1/B:xx-xx_xx/C:08_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:3_2#0_xx@1_5|1_16/G:3_1%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
7524999 8425000 sh^I-p+a=a/A:0+1+3/B:08-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_1#0_xx@2_4|4_13/G:3_3%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
8425000 10425000 I^p-a+a=d/A:0+1+3/B:08-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_1#0_xx@2_4|4_13/G:3_3%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
10425000 10725000 p^a-a+d=e/A:1+2+2/B:08-xx_xx/C:02_xx+xx/D:13+xx_xx/E:3_2!0_xx-1/F:3_1#0_xx@2_4|4_13/G:3_3%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
10725000 11125000 a^a-d+e=m/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:3_2!0_xx-1/F:3_1#0_xx@2_4|4_13/G:3_3%0_xx_1/H:xx_xx/I:5-16@1+1&1-5|1+16/J:xx_xx/K:1+5-16
