0 4525000 xx^xx-sil+n=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_0/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:8_29/K:1+8-29
4525000 5125000 xx^sil-n+o=b/A:-4+1+5/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
5125000 5725000 sil^n-o+b=o/A:-4+1+5/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
5725000 6025000 n^o-b+o=s/A:-3+2+4/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
6025000 6825000 o^b-o+s=e/A:-3+2+4/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
6825000 8225000 b^o-s+e=n/A:-2+3+3/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
8225000 8725000 o^s-e+n=a/A:-2+3+3/B:xx-xx_xx/C:20_3+0/D:10+7_2/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
8725000 9025000 s^e-n+a=i/A:-1+4+2/B:20-3_0/C:10_7+2/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
9025000 9325000 e^n-a+i=y/A:-1+4+2/B:20-3_0/C:10_7+2/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
9325000 11025000 n^a-i+y=o/A:0+5+1/B:20-3_0/C:10_7+2/D:22+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_8|1_29/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
11025000 11525000 a^i-y+o=o/A:0+1+3/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_7|6_24/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
11525000 12725000 i^y-o+o=n/A:0+1+3/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_7|6_24/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
12725000 13425000 y^o-o+n=i/A:1+2+2/B:10-7_2/C:22_xx+xx/D:23+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_7|6_24/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
13425000 14125000 o^o-n+i=ny/A:2+3+1/B:22-xx_xx/C:23_xx+xx/D:03+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_7|6_24/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
14125000 15825000 o^n-i+ny=u/A:2+3+1/B:22-xx_xx/C:23_xx+xx/D:03+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_7|6_24/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
15825000 16125000 n^i-ny+u=u/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
16125000 16425000 i^ny-u+u=y/A:-3+1+4/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
16425000 16825000 ny^u-u+y=o/A:-2+2+3/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
16825000 17625000 u^u-y+o=k/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
17625000 18325000 u^y-o+k=U/A:-1+3+2/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
18325000 18625000 y^o-k+U=s/A:0+4+1/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
18625000 19525000 o^k-U+s=u/A:0+4+1/B:23-xx_xx/C:03_xx+xx/D:20+4_2/E:3_1!0_xx-1/F:4_4#0_xx@3_6|9_21/G:4_4%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
19525000 19825000 k^U-s+u=r/A:-3+1+4/B:03-xx_xx/C:20_4+2/D:13+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
19825000 20325000 U^s-u+r=u/A:-3+1+4/B:03-xx_xx/C:20_4+2/D:13+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
20325000 20924999 s^u-r+u=n/A:-2+2+3/B:03-xx_xx/C:20_4+2/D:13+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
20924999 21925000 u^r-u+n=i/A:-2+2+3/B:03-xx_xx/C:20_4+2/D:13+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
21925000 22225000 r^u-n+i=w/A:-1+3+2/B:20-4_2/C:13_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
22225000 23925000 u^n-i+w=a/A:-1+3+2/B:20-4_2/C:13_xx+xx/D:24+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
23925000 25425000 n^i-w+a=o/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
25425000 26225000 i^w-a+o=y/A:0+4+1/B:13-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:4_4#0_xx@4_5|13_17/G:3_3%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
26225000 27525000 w^a-o+y=u/A:-2+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@5_4|17_13/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
27525000 27825000 a^o-y+u=n/A:-1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@5_4|17_13/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
27825000 28525000 o^y-u+n=o/A:-1+2+2/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@5_4|17_13/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
28525000 29225000 y^u-n+o=ry/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@5_4|17_13/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
29225000 30225000 u^n-o+ry=o/A:0+3+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:4_4!0_xx-1/F:3_3#0_xx@5_4|17_13/G:3_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
30225000 31325000 n^o-ry+o=o/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@6_3|20_10/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
31325000 32025000 o^ry-o+o=t/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:3_3!0_xx-1/F:3_1#0_xx@6_3|20_10/G:4_1%0_xx_1/H:xx_xx/I:8-29@1+1&1-8|1+29/J:xx_xx/K:1+8-29
