0 2824999 xx^xx-sil+o=n/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:8_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:7_30/K:1+7-30
2824999 3425000 xx^sil-o+n=i/A:-1+1+8/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
3425000 3925000 sil^o-n+i=t/A:0+2+7/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
3925000 4525000 o^n-i+t=a/A:0+2+7/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
4525000 5325000 n^i-t+a=r/A:1+3+6/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
5325000 5925000 i^t-a+r=o/A:1+3+6/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
5925000 7524999 t^a-r+o=o/A:2+4+5/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
7524999 8225000 a^r-o+o=k/A:2+4+5/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
8225000 9325000 r^o-o+k=u/A:3+5+4/B:xx-xx_xx/C:18_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
9325000 9625000 o^o-k+u=N/A:4+6+3/B:18-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
9625000 10525000 o^k-u+N=w/A:4+6+3/B:18-xx_xx/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:8_2#0_xx@1_7|1_30/G:4_3%0_xx_1/H:xx_xx/I:7-30@1+1&1-7|1+30/J:xx_xx/K:1+7-30
