0 2525000 xx^xx-sil+a=k/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:2_13/K:2+12-54
2525000 3025000 xx^sil-a+k=a/A:0+1+4/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
3025000 3625000 sil^a-k+a=r/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
3625000 5024999 a^k-a+r=i/A:1+2+3/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
5024999 5425000 k^a-r+i=n/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
5425000 5925000 a^r-i+n=o/A:2+3+2/B:xx-xx_xx/C:02_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
5925000 7625000 r^i-n+o=i/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
7625000 8425000 i^n-o+i=ch/A:3+4+1/B:02-xx_xx/C:23_xx+xx/D:05+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_2|1_13/G:9_6%0_xx_1/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
8425000 9225000 n^o-i+ch=I/A:-5+1+9/B:23-xx_xx/C:05_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
9225000 9725000 o^i-ch+I=k/A:-4+2+8/B:23-xx_xx/C:05_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
9725000 10625000 i^ch-I+k=u/A:-4+2+8/B:23-xx_xx/C:05_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
10625000 11425000 ch^I-k+u=N/A:-3+3+7/B:05-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
11425000 11924999 I^k-u+N=k/A:-3+3+7/B:05-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
11924999 12625000 k^u-N+k=o/A:-2+4+6/B:05-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
12625000 13125000 u^N-k+o=g/A:-1+5+5/B:05-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
13125000 13925000 N^k-o+g=a/A:-1+5+5/B:05-xx_xx/C:02_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
13925000 14225000 k^o-g+a=k/A:0+6+4/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
14225000 14524999 o^g-a+k=U/A:0+6+4/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
14524999 15825000 g^a-k+U=sh/A:1+7+3/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
15825000 16525000 a^k-U+sh=a/A:1+7+3/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
16525000 17825000 k^U-sh+a=w/A:2+8+2/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
17825000 19025000 U^sh-a+w=a/A:2+8+2/B:02-xx_xx/C:02_xx+xx/D:24+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
19025000 21825000 sh^a-w+a=pau/A:3+9+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
21825000 23224999 a^w-a+pau=s/A:3+9+1/B:02-xx_xx/C:24_xx+xx/D:02+xx_xx/E:4_1!0_xx-1/F:9_6#0_xx@2_1|5_9/G:4_2%0_xx_0/H:xx_xx/I:2-13@1+2&1-12|1+54/J:10_41/K:2+12-54
