0 4725000 xx^xx-sil+ts=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_15/K:1+5-15
4725000 5625000 xx^sil-ts+u=r/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
5625000 6125000 sil^ts-u+r=i/A:-4+1+5/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
6125000 6525000 ts^u-r+i=z/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
6525000 7625000 u^r-i+z=a/A:-3+2+4/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
7625000 8125000 r^i-z+a=o/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
8125000 8525000 i^z-a+o=o/A:-2+3+3/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
8525000 10125000 z^a-o+o=k/A:-1+4+2/B:xx-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
10125000 11325000 a^o-o+k=a/A:0+5+1/B:02-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_5#0_xx@1_5|1_15/G:3_1%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
11325000 11924999 o^o-k+a=t/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_4|6_10/G:3_2%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
11924999 12525000 o^k-a+t=a/A:0+1+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_4|6_10/G:3_2%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
12525000 13125000 k^a-t+a=n/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_4|6_10/G:3_2%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
13125000 13525000 a^t-a+n=i/A:1+2+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@2_4|6_10/G:3_2%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
13525000 14125000 t^a-n+i=k/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+3_1/E:5_5!0_xx-1/F:3_1#0_xx@2_4|6_10/G:3_2%0_xx_1/H:xx_xx/I:5-15@1+1&1-5|1+15/J:xx_xx/K:1+5-15
