0 1325000 xx^xx-sil+d=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:04+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_1%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:3_10/K:2+8-27
1325000 1825000 xx^sil-d+a=r/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
1825000 2525000 sil^d-a+r=e/A:0+1+4/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
2525000 2824999 d^a-r+e=k/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
2824999 3825000 a^r-e+k=a/A:1+2+3/B:xx-xx_xx/C:04_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
3825000 4425000 r^e-k+a=g/A:2+3+2/B:04-xx_xx/C:23_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
4425000 5125000 e^k-a+g=a/A:2+3+2/B:04-xx_xx/C:23_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
5125000 5725000 k^a-g+a=u/A:3+4+1/B:23-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
5725000 6025000 a^g-a+u=sh/A:3+4+1/B:23-xx_xx/C:13_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_1#0_xx@1_3|1_10/G:4_4%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
6025000 6525000 g^a-u+sh=i/A:-3+1+4/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
6525000 8025000 a^u-sh+i=r/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
8025000 8325000 u^sh-i+r=o/A:-2+2+3/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
8325000 8925000 sh^i-r+o=e/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
8925000 9325000 i^r-o+e=k/A:-1+3+2/B:13-xx_xx/C:02_xx+xx/D:13+xx_xx/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
9325000 10625000 r^o-e+k=i/A:0+4+1/B:02-xx_xx/C:13_xx+xx/D:20+5_1/E:4_1!0_xx-1/F:4_4#0_xx@2_2|5_6/G:2_1%0_xx_1/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
10625000 11325000 o^e-k+i=t/A:0+1+2/B:13-xx_xx/C:20_5+1/D:12+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@3_1|9_2/G:3_1%0_xx_0/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
11325000 11625000 e^k-i+t=e/A:0+1+2/B:13-xx_xx/C:20_5+1/D:12+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@3_1|9_2/G:3_1%0_xx_0/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
11625000 12024999 k^i-t+e=pau/A:1+2+1/B:20-5_1/C:12_xx+xx/D:19+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@3_1|9_2/G:3_1%0_xx_0/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
12024999 14125000 i^t-e+pau=h/A:1+2+1/B:20-5_1/C:12_xx+xx/D:19+xx_xx/E:4_4!0_xx-1/F:2_1#0_xx@3_1|9_2/G:3_1%0_xx_0/H:xx_xx/I:3-10@1+2&1-8|1+27/J:5_17/K:2+8-27
14125000 15325000 t^e-pau+h=e/A:xx+xx+xx/B:12-xx_xx/C:xx_xx+xx/D:19+xx_xx/E:2_1!0_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:3_1%0_xx_xx/H:3_10/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_17/K:2+8-27
15325000 16125000 e^pau-h+e=N/A:0+1+3/B:12-xx_xx/C:19_xx+xx/D:10+7_3/E:2_1!0_xx-0/F:3_1#0_xx@1_5|1_17/G:3_1%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
16125000 16725000 pau^h-e+N=n/A:0+1+3/B:12-xx_xx/C:19_xx+xx/D:10+7_3/E:2_1!0_xx-0/F:3_1#0_xx@1_5|1_17/G:3_1%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
16725000 17825000 h^e-N+n=a/A:1+2+2/B:12-xx_xx/C:19_xx+xx/D:10+7_3/E:2_1!0_xx-0/F:3_1#0_xx@1_5|1_17/G:3_1%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
17825000 18325000 e^N-n+a=k/A:2+3+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_5|1_17/G:3_1%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
18325000 19025000 N^n-a+k=o/A:2+3+1/B:19-xx_xx/C:10_7+3/D:02+xx_xx/E:2_1!0_xx-0/F:3_1#0_xx@1_5|1_17/G:3_1%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
19025000 19525000 n^a-k+o=e/A:0+1+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@2_4|4_14/G:6_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
19525000 20525000 a^k-o+e=d/A:0+1+3/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@2_4|4_14/G:6_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
20525000 20825000 k^o-e+d=e/A:1+2+2/B:10-7_3/C:02_xx+xx/D:13+xx_xx/E:3_1!0_xx-1/F:3_1#0_xx@2_4|4_14/G:6_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
20825000 21225000 o^e-d+e=s/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:3_1#0_xx@2_4|4_14/G:6_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
21225000 21725000 e^d-e+s=a/A:2+3+1/B:02-xx_xx/C:13_xx+xx/D:20+1_1/E:3_1!0_xx-1/F:3_1#0_xx@2_4|4_14/G:6_2%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
21725000 22825000 d^e-s+a=k/A:-1+1+6/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
22825000 23424999 e^s-a+k=e/A:-1+1+6/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
23424999 24025000 s^a-k+e=N/A:0+2+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
24025000 24925000 a^k-e+N=d/A:0+2+5/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
24925000 25625000 k^e-N+d=a/A:1+3+4/B:13-xx_xx/C:20_1+1/D:10+7_2/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
25625000 26025000 e^N-d+a=n/A:2+4+3/B:20-1_1/C:10_7+2/D:12+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
26025000 26525000 N^d-a+n=o/A:2+4+3/B:20-1_1/C:10_7+2/D:12+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
26525000 27225000 d^a-n+o=d/A:3+5+2/B:10-7_2/C:12_xx+xx/D:06+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
27225000 27925000 a^n-o+d=e/A:3+5+2/B:10-7_2/C:12_xx+xx/D:06+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
27925000 28424999 n^o-d+e=z/A:4+6+1/B:10-7_2/C:12_xx+xx/D:06+xx_xx/E:3_1!0_xx-1/F:6_2#0_xx@3_3|7_11/G:3_3%0_xx_1/H:3_10/I:5-17@2+1&4-5|11+17/J:xx_xx/K:2+8-27
