0 3425000 xx^xx-sil+o=o/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:5_3%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:4_19/K:2+9-33
3425000 4025000 xx^sil-o+o=d/A:-2+1+5/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
4025000 5225000 sil^o-o+d=e/A:-1+2+4/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
5225000 5725000 o^o-d+e=r/A:0+3+3/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
5725000 6525000 o^d-e+r=a/A:0+3+3/B:xx-xx_xx/C:02_xx+xx/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
6525000 7125000 d^e-r+a=n/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
7125000 7625000 e^r-a+n=o/A:1+4+2/B:02-xx_xx/C:15_xx+xx/D:23+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
7625000 8225000 r^a-n+o=i/A:2+5+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
8225000 9125000 a^n-o+i=sh/A:2+5+1/B:15-xx_xx/C:23_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:5_3#0_xx@1_4|1_19/G:5_5%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
9125000 9525000 n^o-i+sh=i/A:-4+1+5/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
9525000 10625000 o^i-sh+i=d/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
10625000 11125000 i^sh-i+d=a/A:-3+2+4/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
11125000 11425000 sh^i-d+a=N/A:-2+3+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
11425000 12325000 i^d-a+N=n/A:-2+3+3/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
12325000 13025000 d^a-N+n=o/A:-1+4+2/B:23-xx_xx/C:02_xx+xx/D:23+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
13025000 13325000 a^N-n+o=m/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
13325000 13925000 N^n-o+m=a/A:0+5+1/B:02-xx_xx/C:23_xx+xx/D:02+xx_xx/E:5_3!0_xx-1/F:5_5#0_xx@2_3|6_14/G:3_1%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
13925000 14625000 n^o-m+a=e/A:0+1+3/B:23-xx_xx/C:02_xx+xx/D:13+xx_xx/E:5_5!0_xx-1/F:3_1#0_xx@3_2|11_9/G:6_4%0_xx_1/H:xx_xx/I:4-19@1+2&1-9|1+33/J:5_14/K:2+9-33
