0 2625000 xx^xx-sil+k=u/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:18+xx_xx/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:9_5%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:5_23/K:1+5-23
2625000 3425000 xx^sil-k+u=z/A:-4+1+9/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
3425000 4125000 sil^k-u+z=u/A:-4+1+9/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
4125000 5024999 k^u-z+u=ry/A:-3+2+8/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
5024999 5625000 u^z-u+ry=u/A:-3+2+8/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
5625000 6125000 z^u-ry+u=u/A:-2+3+7/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
6125000 7725000 u^ry-u+u=my/A:-2+3+7/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
7725000 8425000 ry^u-u+my=o/A:-1+4+6/B:xx-xx_xx/C:18_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
8425000 9225000 u^u-my+o=o/A:0+5+5/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
9225000 10125000 u^my-o+o=j/A:0+5+5/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
10125000 11125000 my^o-o+j=i/A:1+6+4/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11125000 11924999 o^o-j+i=N/A:2+7+3/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
11924999 12225000 o^j-i+N=o/A:2+7+3/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
12225000 13025000 j^i-N+o=m/A:3+8+2/B:18-xx_xx/C:02_xx+xx/D:13+xx_xx/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
13025000 13925000 i^N-o+m=a/A:4+9+1/B:02-xx_xx/C:13_xx+xx/D:20+1_2/E:xx_xx!xx_xx-xx/F:9_5#0_xx@1_5|1_23/G:3_3%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
13925000 14825000 N^o-m+a=ts/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
14825000 15525000 o^m-a+ts=u/A:-2+1+3/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
15525000 15825000 m^a-ts+u=r/A:-1+2+2/B:13-xx_xx/C:20_1+2/D:22+xx_xx/E:9_5!0_xx-1/F:3_3#0_xx@2_4|10_14/G:3_2%0_xx_1/H:xx_xx/I:5-23@1+1&1-5|1+23/J:xx_xx/K:1+5-23
