0 4425000 xx^xx-sil+k=a/A:xx+xx+xx/B:xx-xx_xx/C:xx_xx+xx/D:20+3_1/E:xx_xx!xx_xx-xx/F:xx_xx#xx_xx@xx_xx|xx_xx/G:4_2%0_xx_xx/H:xx_xx/I:xx-xx@xx+xx&xx-xx|xx+xx/J:9_28/K:1+9-28
4425000 5425000 xx^sil-k+a=r/A:-1+1+4/B:xx-xx_xx/C:20_3+1/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
5425000 6125000 sil^k-a+r=e/A:-1+1+4/B:xx-xx_xx/C:20_3+1/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
6125000 6425000 k^a-r+e=r/A:0+2+3/B:xx-xx_xx/C:20_3+1/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
6425000 7425000 a^r-e+r=a/A:0+2+3/B:xx-xx_xx/C:20_3+1/D:15+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
7425000 7825000 r^e-r+a=w/A:1+3+2/B:20-3_1/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
7825000 8425000 e^r-a+w=a/A:1+3+2/B:20-3_1/C:15_xx+xx/D:24+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
8425000 9125000 r^a-w+a=m/A:2+4+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
9125000 10025000 a^w-a+m=a/A:2+4+1/B:15-xx_xx/C:24_xx+xx/D:02+xx_xx/E:xx_xx!xx_xx-xx/F:4_2#0_xx@1_9|1_28/G:3_2%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
10025000 11025000 w^a-m+a=k/A:-1+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
11025000 11924999 a^m-a+k=u/A:-1+1+3/B:24-xx_xx/C:02_xx+xx/D:23+xx_xx/E:4_2!0_xx-1/F:3_2#0_xx@2_8|5_24/G:4_4%0_xx_1/H:xx_xx/I:9-28@1+1&1-9|1+28/J:xx_xx/K:1+9-28
